,GEOID
0,13121006601
1,13121006700
2,13121009300
3,13121009402
4,13067030339
5,13089023700
6,13121001300
7,13121001400
8,13121001800
9,13121001600
10,13121001500
11,13121001900
12,13121000500
13,13121003600
14,13121010002
15,13121010001
16,13121009802
17,13121006801
18,13121009700
19,13121007100
20,13121006200
21,13121001100
22,13121002500
23,13121004200
24,13121009101
25,13121008904
26,13121003700
27,13121010211
28,13121012000
29,13121009000
30,13121007002
31,13121009900
32,13121010303
33,13121001700
34,13121000600
35,13121000200
36,13121000400
37,13121000100
38,13121010206
39,13121006602
40,13121002900
41,13121007705
42,13121009603
43,13121009601
44,13121009801
45,13121011900
46,13121001202
47,13121009102
48,13089020802
49,13121001201
50,13121001001
51,13121008903
52,13121004300
53,13121007603
54,13121007604
55,13121007703
56,13121007704
57,13121009501
58,13089020700
59,13121008902
60,13121009403
61,13121009602
62,13121009404
63,13121009502
64,13121010114
65,13121011800
66,13089020600
67,13089020400
68,13089020500
69,13089020801
70,13089020900
71,13121001002
72,13121000700
73,13121008700
74,13089020100
75,13089020200
76,13089020300
77,13121006802
78,13121006900
79,13121007001
80,13121007602
81,13121007802
82,13121002300
83,13121002100
84,13121007806
85,13121007805
86,13121002800
87,13121002600
88,13121003000
89,13121002400
90,13121003200
91,13121003100
92,13121003500
93,13121003800
94,13121007808
95,13121008000
96,13121007807
97,13121007900
98,13121008201
99,13121008102
100,13121004800
101,13121005000
102,13121003900
103,13121004100
104,13121004900
105,13121004000
106,13121004400
107,13121005300
108,13121008400
109,13121008302
110,13121005200
111,13121008500
112,13121008202
113,13121008601
114,13121008301
115,13121005501
116,13121005700
117,13121006400
118,13121006300
119,13121006100
120,13121005502
121,13121005800
122,13121006500
123,13121008602
124,13121008800
125,13121009200
126,13121007500
127,13121008101
128,13121006000
