,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
0,13121006601,1020.0,2015.0
1,13121006601,1034.0,2016.0
2,13121006601,995.0,2017.0
3,13121006700,1981.0,2015.0
4,13121006700,2020.0,2016.0
5,13121006700,2070.0,2017.0
6,13121009300,2672.0,2015.0
7,13121009300,2652.0,2016.0
8,13121009300,2658.0,2017.0
9,13121009402,2864.0,2015.0
10,13121009402,2758.0,2016.0
11,13121009402,2862.0,2017.0
13,13089023700,2613.0,2015.0
14,13089023700,2641.0,2016.0
15,13089023700,2694.0,2017.0
16,13121001300,2500.0,2015.0
17,13121001300,2457.0,2016.0
18,13121001300,2496.0,2017.0
19,13121001400,1485.0,2015.0
20,13121001400,1514.0,2016.0
21,13121001400,1458.0,2017.0
22,13121001800,3235.0,2015.0
23,13121001800,3294.0,2016.0
24,13121001800,3277.0,2017.0
25,13121001600,1379.0,2015.0
26,13121001600,1440.0,2016.0
27,13121001600,1515.0,2017.0
28,13121001500,2886.0,2015.0
29,13121001500,2932.0,2016.0
30,13121001500,2845.0,2017.0
31,13121001900,1921.0,2015.0
32,13121001900,1880.0,2016.0
33,13121001900,1898.0,2017.0
34,13121000500,3472.0,2015.0
35,13121000500,3541.0,2016.0
36,13121000500,3524.0,2017.0
37,13121003600,1020.0,2015.0
38,13121003600,1002.0,2016.0
39,13121003600,1014.0,2017.0
40,13121010002,3954.0,2015.0
41,13121010002,4034.0,2016.0
42,13121010002,4191.0,2017.0
43,13121010001,2615.0,2015.0
44,13121010001,2799.0,2016.0
45,13121010001,2992.0,2017.0
46,13121009802,2127.0,2015.0
47,13121009802,2149.0,2016.0
48,13121009802,2123.0,2017.0
49,13121006801,7.0,2015.0
50,13121006801,0.0,2016.0
51,13121006801,0.0,2017.0
52,13121009700,1631.0,2015.0
53,13121009700,1640.0,2016.0
54,13121009700,1667.0,2017.0
55,13121007100,1033.0,2015.0
56,13121007100,1051.0,2016.0
57,13121007100,1058.0,2017.0
58,13121006200,714.0,2015.0
59,13121006200,715.0,2016.0
60,13121006200,721.0,2017.0
61,13121001100,3618.0,2015.0
62,13121001100,3655.0,2016.0
63,13121001100,3833.0,2017.0
64,13121002500,1255.0,2015.0
65,13121002500,1308.0,2016.0
66,13121002500,1311.0,2017.0
67,13121004200,1596.0,2015.0
68,13121004200,1649.0,2016.0
69,13121004200,1609.0,2017.0
70,13121009101,3399.0,2015.0
71,13121009101,3480.0,2016.0
72,13121009101,3696.0,2017.0
73,13121008904,2800.0,2015.0
74,13121008904,2887.0,2016.0
75,13121008904,2895.0,2017.0
76,13121003700,54.0,2015.0
77,13121003700,95.0,2016.0
78,13121003700,110.0,2017.0
79,13121010211,1308.0,2015.0
80,13121010211,1239.0,2016.0
81,13121010211,1209.0,2017.0
82,13121012000,1582.0,2015.0
83,13121012000,1572.0,2016.0
84,13121012000,1574.0,2017.0
85,13121009000,2069.0,2015.0
86,13121009000,2097.0,2016.0
87,13121009000,2101.0,2017.0
88,13121007002,1320.0,2015.0
89,13121007002,1323.0,2016.0
90,13121007002,1386.0,2017.0
91,13121009900,2458.0,2015.0
92,13121009900,2416.0,2016.0
93,13121009900,2406.0,2017.0
94,13121010303,4107.0,2015.0
95,13121010303,4212.0,2016.0
96,13121010303,4325.0,2017.0
97,13121001700,2225.0,2015.0
98,13121001700,2395.0,2016.0
99,13121001700,2545.0,2017.0
100,13121000600,2835.0,2015.0
101,13121000600,2816.0,2016.0
102,13121000600,3046.0,2017.0
103,13121000200,3015.0,2015.0
104,13121000200,2985.0,2016.0
105,13121000200,2871.0,2017.0
106,13121000400,1135.0,2015.0
107,13121000400,1144.0,2016.0
108,13121000400,1194.0,2017.0
109,13121000100,2044.0,2015.0
110,13121000100,2045.0,2016.0
111,13121000100,2098.0,2017.0
112,13121010206,2411.0,2015.0
113,13121010206,2498.0,2016.0
114,13121010206,2525.0,2017.0
115,13121006602,603.0,2015.0
116,13121006602,621.0,2016.0
117,13121006602,615.0,2017.0
118,13121002900,1518.0,2015.0
119,13121002900,1493.0,2016.0
120,13121002900,1535.0,2017.0
121,13121007705,2187.0,2015.0
122,13121007705,2162.0,2016.0
123,13121007705,2218.0,2017.0
124,13121009603,2966.0,2015.0
125,13121009603,3124.0,2016.0
126,13121009603,3326.0,2017.0
127,13121009601,1635.0,2015.0
128,13121009601,1669.0,2016.0
129,13121009601,1676.0,2017.0
130,13121009801,2110.0,2015.0
131,13121009801,2171.0,2016.0
132,13121009801,2256.0,2017.0
133,13121011900,1987.0,2015.0
134,13121011900,2001.0,2016.0
135,13121011900,2116.0,2017.0
136,13121001202,3376.0,2015.0
137,13121001202,3392.0,2016.0
138,13121001202,3470.0,2017.0
139,13121009102,2437.0,2015.0
140,13121009102,2498.0,2016.0
141,13121009102,2460.0,2017.0
142,13089020802,1869.0,2015.0
143,13089020802,1960.0,2016.0
144,13089020802,2024.0,2017.0
145,13121001201,2743.0,2015.0
146,13121001201,2765.0,2016.0
147,13121001201,2869.0,2017.0
148,13121001001,1000.0,2015.0
149,13121001001,1049.0,2016.0
150,13121001001,1163.0,2017.0
151,13121008903,969.0,2015.0
152,13121008903,950.0,2016.0
153,13121008903,987.0,2017.0
154,13121004300,713.0,2015.0
155,13121004300,732.0,2016.0
156,13121004300,741.0,2017.0
157,13121007603,2505.0,2015.0
158,13121007603,2557.0,2016.0
159,13121007603,2659.0,2017.0
160,13121007604,1390.0,2015.0
161,13121007604,1446.0,2016.0
162,13121007604,1489.0,2017.0
163,13121007703,1772.0,2015.0
164,13121007703,1799.0,2016.0
