,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
0,13121006601,415.0,2012.0
1,13121006601,414.0,2013.0
2,13121006601,388.0,2014.0
3,13121006601,361.0,2015.0
4,13121006601,394.0,2016.0
5,13121006601,332.0,2017.0
6,13121006700,758.0,2012.0
7,13121006700,769.0,2013.0
8,13121006700,888.0,2014.0
9,13121006700,872.0,2015.0
10,13121006700,941.0,2016.0
11,13121006700,954.0,2017.0
12,13121009300,839.0,2012.0
13,13121009300,796.0,2013.0
14,13121009300,827.0,2014.0
15,13121009300,865.0,2015.0
16,13121009300,939.0,2016.0
17,13121009300,1044.0,2017.0
18,13121009402,2146.0,2012.0
19,13121009402,2131.0,2013.0
20,13121009402,2131.0,2014.0
21,13121009402,2207.0,2015.0
22,13121009402,2129.0,2016.0
23,13121009402,2130.0,2017.0
25,13089023700,1011.0,2012.0
26,13089023700,1105.0,2013.0
27,13089023700,1164.0,2014.0
28,13089023700,1281.0,2015.0
29,13089023700,1376.0,2016.0
30,13089023700,1398.0,2017.0
31,13121001300,1125.0,2012.0
32,13121001300,1290.0,2013.0
33,13121001300,1330.0,2014.0
34,13121001300,1286.0,2015.0
35,13121001300,1347.0,2016.0
36,13121001300,1391.0,2017.0
37,13121001400,856.0,2012.0
38,13121001400,815.0,2013.0
39,13121001400,794.0,2014.0
40,13121001400,826.0,2015.0
41,13121001400,775.0,2016.0
42,13121001400,711.0,2017.0
43,13121001800,1842.0,2012.0
44,13121001800,1948.0,2013.0
45,13121001800,1942.0,2014.0
46,13121001800,2063.0,2015.0
47,13121001800,2273.0,2016.0
48,13121001800,2138.0,2017.0
49,13121001600,894.0,2012.0
50,13121001600,969.0,2013.0
51,13121001600,962.0,2014.0
52,13121001600,983.0,2015.0
53,13121001600,1016.0,2016.0
54,13121001600,1002.0,2017.0
55,13121001500,1451.0,2012.0
56,13121001500,1453.0,2013.0
57,13121001500,1523.0,2014.0
58,13121001500,1721.0,2015.0
59,13121001500,1663.0,2016.0
60,13121001500,1547.0,2017.0
61,13121001900,934.0,2012.0
62,13121001900,800.0,2013.0
63,13121001900,887.0,2014.0
64,13121001900,875.0,2015.0
65,13121001900,896.0,2016.0
66,13121001900,910.0,2017.0
67,13121000500,1020.0,2012.0
68,13121000500,1037.0,2013.0
69,13121000500,1131.0,2014.0
70,13121000500,1296.0,2015.0
71,13121000500,1300.0,2016.0
72,13121000500,1316.0,2017.0
73,13121003600,555.0,2012.0
74,13121003600,510.0,2013.0
75,13121003600,564.0,2014.0
76,13121003600,597.0,2015.0
77,13121003600,561.0,2016.0
78,13121003600,620.0,2017.0
79,13121010002,742.0,2012.0
80,13121010002,880.0,2013.0
81,13121010002,984.0,2014.0
82,13121010002,971.0,2015.0
83,13121010002,1148.0,2016.0
84,13121010002,1282.0,2017.0
85,13121010001,797.0,2012.0
86,13121010001,693.0,2013.0
87,13121010001,660.0,2014.0
88,13121010001,574.0,2015.0
89,13121010001,584.0,2016.0
90,13121010001,649.0,2017.0
91,13121009802,809.0,2012.0
92,13121009802,785.0,2013.0
93,13121009802,817.0,2014.0
94,13121009802,776.0,2015.0
95,13121009802,759.0,2016.0
96,13121009802,696.0,2017.0
97,13121006801,0.0,2012.0
98,13121006801,0.0,2013.0
99,13121006801,0.0,2014.0
100,13121006801,0.0,2015.0
101,13121006801,0.0,2016.0
102,13121006801,0.0,2017.0
103,13121009700,298.0,2012.0
104,13121009700,194.0,2013.0
105,13121009700,124.0,2014.0
106,13121009700,128.0,2015.0
107,13121009700,80.0,2016.0
108,13121009700,88.0,2017.0
109,13121007100,577.0,2012.0
110,13121007100,441.0,2013.0
111,13121007100,390.0,2014.0
112,13121007100,421.0,2015.0
113,13121007100,429.0,2016.0
114,13121007100,446.0,2017.0
115,13121006200,206.0,2012.0
116,13121006200,302.0,2013.0
117,13121006200,280.0,2014.0
118,13121006200,284.0,2015.0
119,13121006200,267.0,2016.0
120,13121006200,309.0,2017.0
121,13121001100,1250.0,2012.0
