,GEOID,UNWEIGHTED SAMPLE HOUSING UNITS_Estimate!!Total,YEAR
0,13121006601,131.0,2015.0
1,13121006601,126.0,2016.0
2,13121006601,120.0,2017.0
3,13121006700,140.0,2015.0
4,13121006700,136.0,2016.0
5,13121006700,133.0,2017.0
6,13121009300,142.0,2015.0
7,13121009300,135.0,2016.0
8,13121009300,136.0,2017.0
9,13121009402,232.0,2015.0
10,13121009402,240.0,2016.0
11,13121009402,222.0,2017.0
13,13089023700,121.0,2015.0
14,13089023700,123.0,2016.0
15,13089023700,119.0,2017.0
16,13121001300,137.0,2015.0
17,13121001300,131.0,2016.0
18,13121001300,134.0,2017.0
19,13121001400,134.0,2015.0
20,13121001400,134.0,2016.0
21,13121001400,137.0,2017.0
22,13121001800,148.0,2015.0
23,13121001800,153.0,2016.0
24,13121001800,161.0,2017.0
25,13121001600,100.0,2015.0
26,13121001600,107.0,2016.0
27,13121001600,115.0,2017.0
28,13121001500,149.0,2015.0
29,13121001500,145.0,2016.0
30,13121001500,140.0,2017.0
31,13121001900,152.0,2015.0
32,13121001900,159.0,2016.0
33,13121001900,154.0,2017.0
34,13121000500,151.0,2015.0
35,13121000500,151.0,2016.0
36,13121000500,140.0,2017.0
37,13121003600,112.0,2015.0
38,13121003600,104.0,2016.0
39,13121003600,98.0,2017.0
40,13121010002,198.0,2015.0
41,13121010002,225.0,2016.0
42,13121010002,236.0,2017.0
43,13121010001,116.0,2015.0
44,13121010001,135.0,2016.0
45,13121010001,142.0,2017.0
46,13121009802,166.0,2015.0
47,13121009802,181.0,2016.0
48,13121009802,174.0,2017.0
49,13121006801,1.0,2015.0
50,13121006801,0.0,2016.0
51,13121006801,0.0,2017.0
52,13121009700,154.0,2015.0
53,13121009700,152.0,2016.0
54,13121009700,142.0,2017.0
55,13121007100,115.0,2015.0
56,13121007100,111.0,2016.0
57,13121007100,113.0,2017.0
58,13121006200,90.0,2015.0
59,13121006200,85.0,2016.0
60,13121006200,80.0,2017.0
61,13121001100,171.0,2015.0
62,13121001100,182.0,2016.0
63,13121001100,189.0,2017.0
64,13121002500,137.0,2015.0
65,13121002500,148.0,2016.0
66,13121002500,143.0,2017.0
67,13121004200,133.0,2015.0
68,13121004200,123.0,2016.0
69,13121004200,119.0,2017.0
70,13121009101,158.0,2015.0
71,13121009101,175.0,2016.0
72,13121009101,178.0,2017.0
73,13121008904,161.0,2015.0
74,13121008904,160.0,2016.0
75,13121008904,165.0,2017.0
76,13121003700,3.0,2015.0
77,13121003700,5.0,2016.0
79,13121010211,100.0,2015.0
80,13121010211,107.0,2016.0
81,13121010211,107.0,2017.0
82,13121012000,129.0,2015.0
83,13121012000,114.0,2016.0
84,13121012000,114.0,2017.0
85,13121009000,187.0,2015.0
86,13121009000,186.0,2016.0
87,13121009000,182.0,2017.0
88,13121007002,77.0,2015.0
89,13121007002,80.0,2016.0
90,13121007002,78.0,2017.0
91,13121009900,134.0,2015.0
92,13121009900,133.0,2016.0
93,13121009900,136.0,2017.0
94,13121010303,190.0,2015.0
95,13121010303,189.0,2016.0
96,13121010303,175.0,2017.0
97,13121001700,161.0,2015.0
98,13121001700,159.0,2016.0
99,13121001700,157.0,2017.0
100,13121000600,140.0,2015.0
101,13121000600,150.0,2016.0
102,13121000600,155.0,2017.0
103,13121000200,164.0,2015.0
104,13121000200,159.0,2016.0
105,13121000200,160.0,2017.0
106,13121000400,103.0,2015.0
107,13121000400,104.0,2016.0
108,13121000400,107.0,2017.0
109,13121000100,188.0,2015.0
110,13121000100,188.0,2016.0
111,13121000100,180.0,2017.0
112,13121010206,202.0,2015.0
113,13121010206,215.0,2016.0
114,13121010206,220.0,2017.0
115,13121006602,87.0,2015.0
116,13121006602,91.0,2016.0
117,13121006602,88.0,2017.0
118,13121002900,124.0,2015.0
119,13121002900,125.0,2016.0
120,13121002900,124.0,2017.0
121,13121007705,135.0,2015.0
122,13121007705,156.0,2016.0
123,13121007705,152.0,2017.0
124,13121009603,128.0,2015.0
125,13121009603,151.0,2016.0
126,13121009603,160.0,2017.0
127,13121009601,126.0,2015.0
128,13121009601,152.0,2016.0
129,13121009601,154.0,2017.0
130,13121009801,174.0,2015.0
131,13121009801,177.0,2016.0
132,13121009801,166.0,2017.0
133,13121011900,156.0,2015.0
134,13121011900,157.0,2016.0
135,13121011900,145.0,2017.0
136,13121001202,154.0,2015.0
137,13121001202,170.0,2016.0
138,13121001202,172.0,2017.0
139,13121009102,100.0,2015.0
140,13121009102,110.0,2016.0
141,13121009102,105.0,2017.0
142,13089020802,164.0,2015.0
143,13089020802,162.0,2016.0
144,13089020802,159.0,2017.0
145,13121001201,111.0,2015.0
146,13121001201,125.0,2016.0
147,13121001201,129.0,2017.0
148,13121001001,136.0,2015.0
149,13121001001,157.0,2016.0
150,13121001001,166.0,2017.0
151,13121008903,93.0,2015.0
152,13121008903,103.0,2016.0
153,13121008903,110.0,2017.0
154,13121004300,77.0,2015.0
155,13121004300,79.0,2016.0
156,13121004300,78.0,2017.0
157,13121007603,123.0,2015.0
158,13121007603,119.0,2016.0
159,13121007603,114.0,2017.0
160,13121007604,72.0,2015.0
161,13121007604,85.0,2016.0
162,13121007604,90.0,2017.0
163,13121007703,136.0,2015.0
164,13121007703,145.0,2016.0
165,13121007703,136.0,2017.0
166,13121007704,146.0,2015.0
167,13121007704,155.0,2016.0
168,13121007704,151.0,2017.0
169,13121009501,164.0,2015.0
170,13121009501,187.0,2016.0
171,13121009501,185.0,2017.0
172,13089020700,158.0,2015.0
173,13089020700,161.0,2016.0
174,13089020700,164.0,2017.0
175,13121008902,200.0,2015.0
176,13121008902,204.0,2016.0
177,13121008902,204.0,2017.0
178,13121009403,142.0,2015.0
179,13121009403,142.0,2016.0
180,13121009403,139.0,2017.0
181,13121009602,159.0,2015.0
182,13121009602,178.0,2016.0
183,13121009602,175.0,2017.0
184,13121009404,143.0,2015.0
185,13121009404,157.0,2016.0
186,13121009404,143.0,2017.0
187,13121009502,103.0,2015.0
188,13121009502,115.0,2016.0
189,13121009502,116.0,2017.0
190,13121010114,128.0,2015.0
191,13121010114,142.0,2016.0
192,13121010114,145.0,2017.0
193,13121011800,176.0,2015.0
194,13121011800,181.0,2016.0
195,13121011800,181.0,2017.0
196,13089020600,110.0,2015.0
197,13089020600,99.0,2016.0
198,13089020600,92.0,2017.0
199,13089020400,131.0,2015.0
200,13089020400,130.0,2016.0
201,13089020400,127.0,2017.0
202,13089020500,134.0,2015.0
203,13089020500,134.0,2016.0
204,13089020500,132.0,2017.0
205,13089020801,106.0,2015.0
206,13089020801,102.0,2016.0
207,13089020801,102.0,2017.0
208,13089020900,130.0,2015.0
209,13089020900,137.0,2016.0
210,13089020900,134.0,2017.0
211,13121001002,97.0,2015.0
212,13121001002,107.0,2016.0
213,13121001002,112.0,2017.0
214,13121000700,67.0,2015.0
215,13121000700,68.0,2016.0
216,13121000700,67.0,2017.0
217,13121008700,185.0,2015.0
218,13121008700,167.0,2016.0
219,13121008700,146.0,2017.0
220,13089020100,120.0,2015.0
221,13089020100,120.0,2016.0
222,13089020100,117.0,2017.0
223,13089020200,102.0,2015.0
224,13089020200,107.0,2016.0
225,13089020200,98.0,2017.0
226,13089020300,150.0,2015.0
227,13089020300,162.0,2016.0
228,13089020300,164.0,2017.0
229,13121006802,65.0,2015.0
230,13121006802,63.0,2016.0
231,13121006802,59.0,2017.0
232,13121006900,126.0,2015.0
233,13121006900,123.0,2016.0
234,13121006900,125.0,2017.0
235,13121007001,133.0,2015.0
236,13121007001,131.0,2016.0
237,13121007001,131.0,2017.0
238,13121007602,132.0,2015.0
239,13121007602,126.0,2016.0
240,13121007602,123.0,2017.0
241,13121007802,190.0,2015.0
242,13121007802,166.0,2016.0
243,13121007802,161.0,2017.0
244,13121002300,137.0,2015.0
245,13121002300,133.0,2016.0
246,13121002300,125.0,2017.0
247,13121002100,125.0,2015.0
248,13121002100,132.0,2016.0
249,13121002100,122.0,2017.0
250,13121007806,115.0,2015.0
251,13121007806,113.0,2016.0
252,13121007806,106.0,2017.0
253,13121007805,110.0,2015.0
254,13121007805,107.0,2016.0
255,13121007805,103.0,2017.0
256,13121002800,171.0,2015.0
257,13121002800,184.0,2016.0
258,13121002800,184.0,2017.0
259,13121002600,69.0,2015.0
260,13121002600,71.0,2016.0
261,13121002600,68.0,2017.0
262,13121003000,157.0,2015.0
263,13121003000,160.0,2016.0
264,13121003000,170.0,2017.0
265,13121002400,141.0,2015.0
266,13121002400,144.0,2016.0
267,13121002400,140.0,2017.0
268,13121003200,134.0,2015.0
269,13121003200,136.0,2016.0
270,13121003200,141.0,2017.0
271,13121003100,117.0,2015.0
272,13121003100,117.0,2016.0
273,13121003100,113.0,2017.0
274,13121003500,87.0,2015.0
275,13121003500,89.0,2016.0
276,13121003500,86.0,2017.0
277,13121003800,45.0,2015.0
278,13121003800,45.0,2016.0
279,13121003800,40.0,2017.0
280,13121007808,143.0,2015.0
281,13121007808,138.0,2016.0
282,13121007808,135.0,2017.0
283,13121008000,179.0,2015.0
284,13121008000,181.0,2016.0
285,13121008000,172.0,2017.0
286,13121007807,90.0,2015.0
287,13121007807,90.0,2016.0
288,13121007807,93.0,2017.0
289,13121007900,104.0,2015.0
290,13121007900,106.0,2016.0
291,13121007900,101.0,2017.0
292,13121008201,143.0,2015.0
293,13121008201,142.0,2016.0
294,13121008201,131.0,2017.0
295,13121008102,125.0,2015.0
296,13121008102,124.0,2016.0
297,13121008102,121.0,2017.0
298,13121004800,70.0,2015.0
299,13121004800,75.0,2016.0
300,13121004800,73.0,2017.0
301,13121005000,146.0,2015.0
302,13121005000,150.0,2016.0
303,13121005000,148.0,2017.0
304,13121003900,110.0,2015.0
305,13121003900,113.0,2016.0
306,13121003900,107.0,2017.0
307,13121004100,107.0,2015.0
308,13121004100,113.0,2016.0
309,13121004100,104.0,2017.0
310,13121004900,115.0,2015.0
311,13121004900,107.0,2016.0
312,13121004900,107.0,2017.0
313,13121004000,145.0,2015.0
314,13121004000,148.0,2016.0
315,13121004000,145.0,2017.0
316,13121004400,78.0,2015.0
317,13121004400,80.0,2016.0
318,13121004400,70.0,2017.0
319,13121005300,148.0,2015.0
320,13121005300,149.0,2016.0
321,13121005300,157.0,2017.0
322,13121008400,126.0,2015.0
323,13121008400,115.0,2016.0
324,13121008400,117.0,2017.0
325,13121008302,131.0,2015.0
326,13121008302,134.0,2016.0
327,13121008302,131.0,2017.0
