,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
265,13089020100,2076.0,2017.0
266,13089020200,2045.0,2017.0
267,13089020300,4151.0,2017.0
268,13089020400,2574.0,2017.0
269,13089020500,3305.0,2017.0
270,13089020600,2102.0,2017.0
271,13089020700,2231.0,2017.0
272,13089020801,2619.0,2017.0
273,13089020802,4764.0,2017.0
274,13089020900,5811.0,2017.0
275,13089021101,3722.0,2017.0
276,13089021102,5693.0,2017.0
277,13089021202,8093.0,2017.0
278,13089021204,3555.0,2017.0
279,13089021208,4273.0,2017.0
280,13089021209,6200.0,2017.0
281,13089021210,5679.0,2017.0
282,13089021211,5120.0,2017.0
283,13089021213,3687.0,2017.0
284,13089021214,6128.0,2017.0
285,13089021215,6251.0,2017.0
286,13089021216,7834.0,2017.0
287,13089021217,2198.0,2017.0
288,13089021218,6088.0,2017.0
289,13089021301,4219.0,2017.0
290,13089021303,6297.0,2017.0
291,13089021305,5275.0,2017.0
292,13089021306,5198.0,2017.0
293,13089021307,3975.0,2017.0
294,13089021308,4189.0,2017.0
295,13089021405,4585.0,2017.0
296,13089021409,3901.0,2017.0
297,13089021410,5382.0,2017.0
298,13089021411,3400.0,2017.0
299,13089021412,3667.0,2017.0
300,13089021413,4450.0,2017.0
301,13089021414,4092.0,2017.0
302,13089021415,3678.0,2017.0
303,13089021416,2391.0,2017.0
304,13089021417,6152.0,2017.0
305,13089021502,4633.0,2017.0
306,13089021503,3970.0,2017.0
307,13089021504,5106.0,2017.0
308,13089021602,3849.0,2017.0
309,13089021603,4697.0,2017.0
310,13089021604,3101.0,2017.0
311,13089021605,6128.0,2017.0
312,13089021703,4618.0,2017.0
313,13089021704,5770.0,2017.0
314,13089021705,5009.0,2017.0
315,13089021706,5252.0,2017.0
316,13089021805,7038.0,2017.0
317,13089021806,6614.0,2017.0
318,13089021808,5268.0,2017.0
319,13089021809,7201.0,2017.0
320,13089021810,5593.0,2017.0
321,13089021812,2186.0,2017.0
322,13089021813,2997.0,2017.0
323,13089021814,5700.0,2017.0
324,13089021906,5624.0,2017.0
325,13089021907,8711.0,2017.0
326,13089021908,5931.0,2017.0
327,13089021909,7519.0,2017.0
328,13089021910,5366.0,2017.0
329,13089021911,2324.0,2017.0
330,13089021912,3914.0,2017.0
331,13089021913,4799.0,2017.0
332,13089022001,4512.0,2017.0
333,13089022004,6031.0,2017.0
334,13089022005,5218.0,2017.0
335,13089022007,4131.0,2017.0
336,13089022008,8226.0,2017.0
337,13089022009,5260.0,2017.0
338,13089022010,2354.0,2017.0
339,13089022100,3280.0,2017.0
340,13089022203,2098.0,2017.0
341,13089022204,7541.0,2017.0
342,13089022301,5825.0,2017.0
343,13089022302,4384.0,2017.0
344,13089022401,3708.0,2017.0
345,13089022402,6188.0,2017.0
346,13089022403,3903.0,2017.0
347,13089022500,6512.0,2017.0
348,13089022600,5907.0,2017.0
349,13089022700,4818.0,2017.0
350,13089022800,4273.0,2017.0
351,13089022900,3465.0,2017.0
352,13089023000,2121.0,2017.0
353,13089023101,4718.0,2017.0
354,13089023102,3574.0,2017.0
355,13089023107,4603.0,2017.0
356,13089023108,4498.0,2017.0
357,13089023111,2311.0,2017.0
358,13089023112,4958.0,2017.0
359,13089023113,2914.0,2017.0
360,13089023114,2869.0,2017.0
361,13089023115,2272.0,2017.0
362,13089023204,6923.0,2017.0
363,13089023206,7770.0,2017.0
364,13089023208,6735.0,2017.0
365,13089023209,6058.0,2017.0
366,13089023210,6762.0,2017.0
367,13089023211,3593.0,2017.0
368,13089023212,3984.0,2017.0
369,13089023213,6797.0,2017.0
370,13089023214,6264.0,2017.0
371,13089023303,6900.0,2017.0
372,13089023306,7161.0,2017.0
373,13089023309,9596.0,2017.0
374,13089023310,9469.0,2017.0
375,13089023311,4937.0,2017.0
376,13089023312,10131.0,2017.0
377,13089023313,5579.0,2017.0
378,13089023314,5801.0,2017.0
379,13089023315,5489.0,2017.0
380,13089023316,7992.0,2017.0
381,13089023410,4165.0,2017.0
382,13089023411,4282.0,2017.0
383,13089023412,5648.0,2017.0
384,13089023413,3788.0,2017.0
385,13089023414,6571.0,2017.0
386,13089023416,6811.0,2017.0
387,13089023418,18039.0,2017.0
388,13089023419,10254.0,2017.0
389,13089023421,8287.0,2017.0
390,13089023422,5705.0,2017.0
391,13089023423,7820.0,2017.0
392,13089023424,5730.0,2017.0
393,13089023425,5076.0,2017.0
394,13089023426,4767.0,2017.0
395,13089023427,2763.0,2017.0
396,13089023428,9758.0,2017.0
397,13089023501,3419.0,2017.0
398,13089023504,3536.0,2017.0
399,13089023505,2876.0,2017.0
400,13089023506,6474.0,2017.0
401,13089023507,4098.0,2017.0
402,13089023601,3092.0,2017.0
403,13089023602,2349.0,2017.0
404,13089023603,3696.0,2017.0
405,13089023700,6211.0,2017.0
406,13089023801,4027.0,2017.0
407,13089023802,4599.0,2017.0
408,13089023803,5844.0,2017.0
494,13121000100,5183.0,2017.0
495,13121000200,6282.0,2017.0
496,13121000400,1805.0,2017.0
497,13121000500,5572.0,2017.0
498,13121000600,6350.0,2017.0
499,13121000700,3121.0,2017.0
500,13121001001,2740.0,2017.0
501,13121001002,6998.0,2017.0
502,13121001100,4356.0,2017.0
503,13121001201,4030.0,2017.0
504,13121001202,4141.0,2017.0
505,13121001300,4655.0,2017.0
506,13121001400,2281.0,2017.0
507,13121001500,4637.0,2017.0
508,13121001600,2304.0,2017.0
509,13121001700,4439.0,2017.0
510,13121001800,4336.0,2017.0
511,13121001900,5188.0,2017.0
512,13121002100,2640.0,2017.0
513,13121002300,1500.0,2017.0
514,13121002400,2645.0,2017.0
515,13121002500,2271.0,2017.0
516,13121002600,1777.0,2017.0
