,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
265,13089020100,785.0,517.0,449.0,68.0,5.0,63.0,268.0,172.0,96.0,2017.0
266,13089020200,984.0,412.0,371.0,41.0,0.0,41.0,572.0,463.0,109.0,2017.0
267,13089020300,1660.0,1023.0,932.0,91.0,7.0,84.0,637.0,452.0,185.0,2017.0
268,13089020400,1294.0,586.0,435.0,151.0,46.0,105.0,708.0,588.0,120.0,2017.0
269,13089020500,1474.0,709.0,395.0,314.0,52.0,262.0,765.0,584.0,181.0,2017.0
270,13089020600,976.0,493.0,223.0,270.0,3.0,267.0,483.0,344.0,139.0,2017.0
271,13089020700,962.0,434.0,295.0,139.0,12.0,127.0,528.0,398.0,130.0,2017.0
272,13089020801,1090.0,625.0,502.0,123.0,23.0,100.0,465.0,379.0,86.0,2017.0
273,13089020802,1783.0,1081.0,633.0,448.0,53.0,395.0,702.0,591.0,111.0,2017.0
274,13089020900,2601.0,1176.0,854.0,322.0,34.0,288.0,1425.0,1034.0,391.0,2017.0
275,13089021101,1315.0,973.0,901.0,72.0,0.0,72.0,342.0,285.0,57.0,2017.0
276,13089021102,2829.0,1114.0,969.0,145.0,17.0,128.0,1715.0,1471.0,244.0,2017.0
277,13089021202,3014.0,2055.0,1770.0,285.0,113.0,172.0,959.0,889.0,70.0,2017.0
278,13089021204,843.0,521.0,358.0,163.0,106.0,57.0,322.0,151.0,171.0,2017.0
279,13089021208,1784.0,921.0,744.0,177.0,35.0,142.0,863.0,616.0,247.0,2017.0
280,13089021209,3050.0,1346.0,1051.0,295.0,153.0,142.0,1704.0,1391.0,313.0,2017.0
281,13089021210,2001.0,1664.0,1552.0,112.0,48.0,64.0,337.0,278.0,59.0,2017.0
282,13089021211,2000.0,1401.0,1191.0,210.0,56.0,154.0,599.0,529.0,70.0,2017.0
283,13089021213,1209.0,1099.0,1049.0,50.0,10.0,40.0,110.0,101.0,9.0,2017.0
284,13089021214,2149.0,1687.0,1595.0,92.0,25.0,67.0,462.0,396.0,66.0,2017.0
285,13089021215,2525.0,1435.0,1250.0,185.0,117.0,68.0,1090.0,822.0,268.0,2017.0
286,13089021216,4078.0,1784.0,1429.0,355.0,130.0,225.0,2294.0,1974.0,320.0,2017.0
287,13089021217,928.0,597.0,388.0,209.0,63.0,146.0,331.0,254.0,77.0,2017.0
288,13089021218,3294.0,1267.0,802.0,465.0,20.0,445.0,2027.0,1679.0,348.0,2017.0
289,13089021301,1456.0,682.0,383.0,299.0,105.0,194.0,774.0,510.0,264.0,2017.0
290,13089021303,1719.0,1222.0,855.0,367.0,180.0,187.0,497.0,380.0,117.0,2017.0
