,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!Less than $10,000","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$10,000 to $14,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$15,000 to $19,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$20,000 to $24,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$25,000 to $29,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$30,000 to $34,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$35,000 to $39,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$40,000 to $44,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$45,000 to $49,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$50,000 to $59,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$60,000 to $74,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$75,000 to $99,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$100,000 to $124,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$125,000 to $149,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$150,000 to $199,999","HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Total!!$200,000 or more",YEAR
0,13121006601,790.0,204.0,33.0,21.0,47.0,40.0,81.0,13.0,71.0,42.0,60.0,59.0,40.0,26.0,28.0,25.0,0.0,2012.0
1,13121006601,808.0,264.0,38.0,14.0,55.0,30.0,59.0,35.0,27.0,31.0,73.0,76.0,31.0,31.0,23.0,21.0,0.0,2013.0
2,13121006601,798.0,181.0,70.0,44.0,58.0,47.0,33.0,42.0,32.0,21.0,53.0,79.0,68.0,44.0,10.0,16.0,0.0,2014.0
3,13121006601,782.0,142.0,79.0,39.0,44.0,47.0,22.0,39.0,46.0,20.0,80.0,67.0,75.0,51.0,10.0,21.0,0.0,2015.0
4,13121006601,794.0,147.0,87.0,61.0,64.0,41.0,26.0,43.0,16.0,16.0,75.0,78.0,81.0,45.0,14.0,0.0,0.0,2016.0
5,13121006601,764.0,114.0,82.0,51.0,59.0,24.0,34.0,41.0,29.0,21.0,51.0,103.0,77.0,55.0,11.0,5.0,7.0,2017.0
6,13121006700,1318.0,288.0,100.0,138.0,201.0,25.0,34.0,35.0,47.0,26.0,131.0,79.0,91.0,55.0,9.0,32.0,27.0,2012.0
7,13121006700,1391.0,406.0,110.0,183.0,165.0,15.0,56.0,43.0,49.0,40.0,105.0,46.0,47.0,51.0,20.0,26.0,29.0,2013.0
8,13121006700,1463.0,353.0,200.0,196.0,175.0,8.0,20.0,82.0,47.0,21.0,83.0,110.0,41.0,35.0,38.0,27.0,27.0,2014.0
9,13121006700,1451.0,294.0,183.0,228.0,201.0,15.0,18.0,87.0,55.0,0.0,76.0,160.0,59.0,18.0,47.0,10.0,0.0,2015.0
10,13121006700,1431.0,251.0,188.0,226.0,181.0,14.0,29.0,139.0,50.0,0.0,45.0,153.0,55.0,27.0,41.0,32.0,0.0,2016.0
11,13121006700,1505.0,297.0,174.0,136.0,205.0,37.0,11.0,101.0,63.0,72.0,50.0,138.0,86.0,47.0,51.0,37.0,0.0,2017.0
12,13121009300,2358.0,162.0,9.0,70.0,70.0,62.0,63.0,72.0,11.0,66.0,94.0,229.0,446.0,301.0,147.0,194.0,362.0,2012.0
13,13121009300,2280.0,93.0,10.0,104.0,123.0,49.0,80.0,48.0,0.0,36.0,108.0,144.0,405.0,291.0,183.0,150.0,456.0,2013.0
14,13121009300,2260.0,98.0,0.0,51.0,113.0,50.0,71.0,47.0,0.0,17.0,216.0,147.0,358.0,286.0,190.0,137.0,479.0,2014.0
15,13121009300,2319.0,59.0,15.0,38.0,114.0,95.0,85.0,47.0,0.0,16.0,270.0,127.0,384.0,297.0,173.0,176.0,423.0,2015.0
16,13121009300,2386.0,196.0,14.0,37.0,67.0,133.0,81.0,35.0,0.0,43.0,269.0,132.0,315.0,209.0,147.0,214.0,494.0,2016.0
17,13121009300,2439.0,190.0,30.0,38.0,57.0,156.0,66.0,38.0,20.0,20.0,253.0,122.0,216.0,219.0,117.0,331.0,566.0,2017.0
18,13121009402,2275.0,94.0,130.0,76.0,82.0,94.0,142.0,159.0,99.0,154.0,92.0,485.0,370.0,153.0,30.0,94.0,21.0,2012.0
19,13121009402,2335.0,65.0,72.0,58.0,95.0,120.0,138.0,143.0,107.0,157.0,152.0,403.0,319.0,345.0,28.0,111.0,22.0,2013.0
20,13121009402,2363.0,75.0,62.0,108.0,55.0,113.0,139.0,106.0,179.0,76.0,150.0,386.0,338.0,365.0,105.0,83.0,23.0,2014.0
21,13121009402,2442.0,112.0,60.0,127.0,41.0,72.0,163.0,125.0,153.0,74.0,243.0,328.0,358.0,329.0,122.0,85.0,50.0,2015.0
22,13121009402,2378.0,152.0,67.0,109.0,51.0,85.0,100.0,85.0,150.0,44.0,265.0,319.0,288.0,335.0,142.0,124.0,62.0,2016.0
23,13121009402,2487.0,194.0,45.0,75.0,66.0,104.0,116.0,50.0,156.0,41.0,222.0,361.0,253.0,347.0,197.0,161.0,99.0,2017.0
25,13089023700,2066.0,318.0,188.0,178.0,140.0,176.0,222.0,12.0,39.0,60.0,166.0,214.0,52.0,174.0,49.0,49.0,29.0,2012.0
26,13089023700,2122.0,436.0,274.0,194.0,132.0,103.0,178.0,22.0,30.0,63.0,94.0,126.0,122.0,173.0,45.0,92.0,38.0,2013.0
27,13089023700,2124.0,475.0,277.0,150.0,106.0,73.0,190.0,64.0,80.0,38.0,63.0,81.0,127.0,217.0,49.0,99.0,35.0,2014.0
28,13089023700,2209.0,535.0,241.0,122.0,121.0,71.0,208.0,49.0,97.0,61.0,75.0,148.0,131.0,182.0,22.0,113.0,33.0,2015.0
29,13089023700,2266.0,482.0,192.0,103.0,208.0,76.0,118.0,72.0,129.0,200.0,55.0,141.0,179.0,142.0,20.0,112.0,37.0,2016.0
30,13089023700,2363.0,367.0,203.0,116.0,151.0,137.0,33.0,33.0,135.0,262.0,183.0,170.0,198.0,164.0,61.0,88.0,62.0,2017.0
31,13121001300,2211.0,184.0,25.0,36.0,100.0,142.0,122.0,42.0,157.0,121.0,203.0,164.0,149.0,188.0,207.0,192.0,179.0,2012.0
32,13121001300,2233.0,220.0,54.0,50.0,106.0,120.0,179.0,104.0,127.0,69.0,190.0,187.0,162.0,204.0,161.0,124.0,176.0,2013.0
33,13121001300,2229.0,270.0,64.0,30.0,97.0,130.0,195.0,55.0,138.0,76.0,126.0,130.0,276.0,190.0,164.0,152.0,136.0,2014.0
34,13121001300,2219.0,305.0,64.0,41.0,67.0,96.0,143.0,86.0,130.0,75.0,146.0,141.0,323.0,168.0,155.0,179.0,100.0,2015.0
35,13121001300,2173.0,206.0,61.0,105.0,61.0,12.0,205.0,51.0,134.0,75.0,185.0,190.0,339.0,186.0,111.0,111.0,141.0,2016.0
36,13121001300,2235.0,192.0,58.0,91.0,65.0,13.0,211.0,67.0,103.0,92.0,131.0,246.0,324.0,263.0,123.0,111.0,145.0,2017.0
37,13121001400,1397.0,43.0,35.0,88.0,42.0,20.0,100.0,45.0,82.0,28.0,150.0,186.0,176.0,133.0,108.0,53.0,108.0,2012.0
38,13121001400,1356.0,97.0,46.0,58.0,64.0,16.0,49.0,34.0,69.0,12.0,135.0,181.0,148.0,183.0,88.0,89.0,87.0,2013.0
39,13121001400,1353.0,106.0,13.0,40.0,70.0,18.0,89.0,16.0,78.0,16.0,152.0,146.0,93.0,190.0,117.0,110.0,99.0,2014.0
40,13121001400,1361.0,82.0,27.0,46.0,75.0,0.0,97.0,13.0,92.0,19.0,157.0,97.0,137.0,202.0,91.0,98.0,128.0,2015.0
41,13121001400,1375.0,82.0,31.0,44.0,71.0,8.0,70.0,41.0,95.0,20.0,82.0,105.0,186.0,166.0,144.0,98.0,132.0,2016.0
42,13121001400,1300.0,86.0,9.0,38.0,51.0,8.0,76.0,42.0,16.0,25.0,60.0,154.0,160.0,133.0,149.0,161.0,132.0,2017.0
43,13121001800,2618.0,696.0,204.0,150.0,79.0,147.0,113.0,81.0,53.0,80.0,181.0,202.0,262.0,168.0,29.0,69.0,104.0,2012.0
44,13121001800,2764.0,820.0,211.0,72.0,71.0,156.0,134.0,93.0,36.0,87.0,258.0,241.0,193.0,182.0,42.0,75.0,93.0,2013.0
