,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
0,13121006601,32245.0,2010.0
1,13121006601,30556.0,2011.0
2,13121006601,32847.0,2012.0
3,13121006601,30234.0,2013.0
4,13121006601,29911.0,2014.0
5,13121006601,36957.0,2015.0
6,13121006601,29674.0,2016.0
7,13121006601,36250.0,2017.0
8,13121006700,25824.0,2010.0
9,13121006700,22694.0,2011.0
10,13121006700,22733.0,2012.0
11,13121006700,19907.0,2013.0
12,13121006700,19629.0,2014.0
13,13121006700,20369.0,2015.0
14,13121006700,20895.0,2016.0
15,13121006700,23017.0,2017.0
16,13121009300,92178.0,2010.0
17,13121009300,95144.0,2011.0
18,13121009300,90068.0,2012.0
19,13121009300,92857.0,2013.0
20,13121009300,95179.0,2014.0
21,13121009300,92775.0,2015.0
22,13121009300,88389.0,2016.0
23,13121009300,100844.0,2017.0
24,13121009402,52995.0,2010.0
25,13121009402,55552.0,2011.0
26,13121009402,60408.0,2012.0
27,13121009402,62745.0,2013.0
28,13121009402,63799.0,2014.0
29,13121009402,62868.0,2015.0
30,13121009402,64342.0,2016.0
31,13121009402,69034.0,2017.0
33,13089023700,29944.0,2010.0
34,13089023700,29857.0,2011.0
35,13089023700,30730.0,2012.0
36,13089023700,25772.0,2013.0
37,13089023700,26849.0,2014.0
38,13089023700,30477.0,2015.0
39,13089023700,33678.0,2016.0
40,13089023700,45077.0,2017.0
41,13121001300,66392.0,2010.0
42,13121001300,66154.0,2011.0
43,13121001300,59054.0,2012.0
44,13121001300,56320.0,2013.0
45,13121001300,57625.0,2014.0
46,13121001300,58125.0,2015.0
47,13121001300,59756.0,2016.0
48,13121001300,66223.0,2017.0
49,13121001400,69473.0,2010.0
50,13121001400,70260.0,2011.0
51,13121001400,68169.0,2012.0
52,13121001400,69018.0,2013.0
53,13121001400,70215.0,2014.0
54,13121001400,71469.0,2015.0
