,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE_Estimate!!Total!!7-or-more-person households,YEAR
265,13089020100,174526.0,75658.0,174871.0,250001.0,222222.0,250001.0,250001.0,-666666666.0,2017.0
266,13089020200,87889.0,67865.0,112841.0,-666666666.0,250001.0,-666666666.0,-666666666.0,-666666666.0,2017.0
267,13089020300,113088.0,54444.0,108860.0,181944.0,225592.0,144861.0,-666666666.0,-666666666.0,2017.0
268,13089020400,78681.0,46616.0,105500.0,128438.0,223750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
269,13089020500,55208.0,-666666666.0,92826.0,78000.0,116319.0,60417.0,-666666666.0,-666666666.0,2017.0
270,13089020600,43295.0,32250.0,77708.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
271,13089020700,53833.0,27935.0,105179.0,116000.0,109063.0,-666666666.0,-666666666.0,-666666666.0,2017.0
272,13089020801,92594.0,63063.0,114007.0,124750.0,164286.0,-666666666.0,78674.0,-666666666.0,2017.0
273,13089020802,57204.0,17311.0,97891.0,122426.0,61641.0,-666666666.0,-666666666.0,93173.0,2017.0
274,13089020900,66536.0,45517.0,72191.0,159583.0,149643.0,-666666666.0,-666666666.0,-666666666.0,2017.0
275,13089021101,162159.0,85625.0,163790.0,239375.0,165139.0,185347.0,183929.0,-666666666.0,2017.0
276,13089021102,83628.0,60308.0,102218.0,202917.0,168319.0,-666666666.0,-666666666.0,-666666666.0,2017.0
