,GEOID,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!2-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!3-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!4-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!5-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!6-person families,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY FAMILY SIZE_Estimate!!Total!!7-or-more-person families,YEAR
0,13121006601,51375.0,60069.0,49000.0,-666666666.0,52188.0,-666666666.0,-666666666.0,2017.0
1,13121006700,37821.0,20347.0,39844.0,41212.0,-666666666.0,-666666666.0,-666666666.0,2017.0
2,13121009300,171452.0,167760.0,199028.0,207237.0,-666666666.0,-666666666.0,-666666666.0,2017.0
3,13121009402,96484.0,105500.0,72955.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
5,13089023700,45919.0,47297.0,42831.0,51250.0,-666666666.0,-666666666.0,-666666666.0,2017.0
6,13121001300,100104.0,77841.0,113611.0,177750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
7,13121001400,128438.0,126406.0,131250.0,155125.0,-666666666.0,-666666666.0,-666666666.0,2017.0
8,13121001800,34375.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
9,13121001600,111290.0,86442.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
10,13121001500,131417.0,-666666666.0,185714.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
11,13121001900,-666666666.0,149338.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
12,13121000500,125526.0,126184.0,250001.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
13,13121003600,56161.0,99688.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
14,13121010002,237198.0,240132.0,185682.0,224821.0,250001.0,-666666666.0,-666666666.0,2017.0
15,13121010001,189848.0,161797.0,248583.0,250001.0,112154.0,-666666666.0,-666666666.0,2017.0
16,13121009802,212826.0,166410.0,188864.0,212768.0,250001.0,184659.0,-666666666.0,2017.0
17,13121006801,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
18,13121009700,250001.0,206205.0,250001.0,195500.0,250001.0,-666666666.0,-666666666.0,2017.0
19,13121007100,31216.0,27083.0,21992.0,-666666666.0,89063.0,-666666666.0,-666666666.0,2017.0
20,13121006200,34091.0,-666666666.0,57841.0,18289.0,42500.0,-666666666.0,-666666666.0,2017.0
21,13121001100,168239.0,160370.0,250001.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
22,13121002500,26583.0,28542.0,16685.0,-666666666.0,44500.0,-666666666.0,-666666666.0,2017.0
23,13121004200,25956.0,27054.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
24,13121009101,145662.0,99583.0,146967.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
25,13121008904,119852.0,117775.0,160393.0,196518.0,223667.0,-666666666.0,-666666666.0,2017.0
26,13121003700,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
27,13121010211,214479.0,139643.0,250001.0,-666666666.0,250001.0,-666666666.0,-666666666.0,2017.0
28,13121012000,39091.0,38864.0,31838.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
29,13121009000,169886.0,112742.0,145179.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
30,13121007002,27969.0,35096.0,14861.0,58527.0,-666666666.0,-666666666.0,-666666666.0,2017.0
31,13121009900,250001.0,250001.0,-666666666.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
32,13121010303,74750.0,63164.0,85978.0,-666666666.0,77846.0,140929.0,-666666666.0,2017.0
33,13121001700,90526.0,102529.0,31339.0,108833.0,-666666666.0,-666666666.0,-666666666.0,2017.0
34,13121000600,93011.0,93182.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
35,13121000200,223317.0,158854.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
36,13121000400,170104.0,130000.0,-666666666.0,213750.0,-666666666.0,-666666666.0,-666666666.0,2017.0
37,13121000100,212995.0,145417.0,250001.0,225208.0,250001.0,-666666666.0,-666666666.0,2017.0
38,13121010206,250001.0,202000.0,224000.0,250001.0,250001.0,250001.0,-666666666.0,2017.0
39,13121006602,18833.0,20966.0,15972.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
40,13121002900,91750.0,114028.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
41,13121007705,29518.0,36136.0,33992.0,27727.0,-666666666.0,-666666666.0,-666666666.0,2017.0
42,13121009603,184688.0,155847.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
43,13121009601,113750.0,81250.0,193462.0,137143.0,-666666666.0,-666666666.0,-666666666.0,2017.0
44,13121009801,235536.0,163125.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
45,13121011900,42708.0,45179.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
46,13121001202,138167.0,131364.0,138636.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
47,13121009102,191083.0,111042.0,191917.0,250001.0,243125.0,-666666666.0,-666666666.0,2017.0
48,13089020802,86713.0,89821.0,101667.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
49,13121001201,139250.0,121806.0,150000.0,217563.0,-666666666.0,-666666666.0,-666666666.0,2017.0
50,13121001001,102708.0,102813.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
51,13121008903,53750.0,105179.0,22500.0,31458.0,40568.0,-666666666.0,-666666666.0,2017.0
52,13121004300,23407.0,21875.0,-666666666.0,24688.0,-666666666.0,-666666666.0,-666666666.0,2017.0
53,13121007603,16443.0,22143.0,16070.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2017.0
54,13121007604,23787.0,21923.0,26591.0,-666666666.0,24053.0,-666666666.0,-666666666.0,2017.0
55,13121007703,45186.0,49727.0,35000.0,68611.0,-666666666.0,-666666666.0,-666666666.0,2017.0
56,13121007704,32436.0,29395.0,56302.0,-666666666.0,-666666666.0,58618.0,-666666666.0,2017.0
57,13121009501,250001.0,182734.0,250001.0,250001.0,250001.0,-666666666.0,-666666666.0,2017.0
58,13089020700,108125.0,104821.0,120667.0,107083.0,124063.0,-666666666.0,-666666666.0,2017.0
59,13121008902,87891.0,78125.0,94366.0,141225.0,-666666666.0,-666666666.0,-666666666.0,2017.0
60,13121009403,56406.0,57188.0,-666666666.0,173929.0,-666666666.0,-666666666.0,-666666666.0,2017.0
61,13121009602,194091.0,135000.0,-666666666.0,231944.0,-666666666.0,-666666666.0,-666666666.0,2017.0
62,13121009404,104167.0,94152.0,100731.0,138523.0,250001.0,-666666666.0,-666666666.0,2017.0
63,13121009502,116023.0,121429.0,98601.0,183000.0,-666666666.0,-666666666.0,-666666666.0,2017.0
64,13121010114,113125.0,113864.0,-666666666.0,250001.0,235333.0,-666666666.0,-666666666.0,2017.0
