,GEOID,HOUSING UNITS_Estimate!!Total,YEAR
265,13089020100,840.0,2017.0
266,13089020200,1153.0,2017.0
267,13089020300,1763.0,2017.0
268,13089020400,1361.0,2017.0
269,13089020500,1881.0,2017.0
270,13089020600,1144.0,2017.0
271,13089020700,1181.0,2017.0
272,13089020801,1229.0,2017.0
273,13089020802,2024.0,2017.0
274,13089020900,2936.0,2017.0
275,13089021101,1420.0,2017.0
276,13089021102,3041.0,2017.0
277,13089021202,3279.0,2017.0
278,13089021204,928.0,2017.0
279,13089021208,1893.0,2017.0
280,13089021209,3271.0,2017.0
281,13089021210,2076.0,2017.0
282,13089021211,2045.0,2017.0
283,13089021213,1248.0,2017.0
284,13089021214,2149.0,2017.0
285,13089021215,2973.0,2017.0
286,13089021216,5110.0,2017.0
287,13089021217,1049.0,2017.0
288,13089021218,3626.0,2017.0
289,13089021301,1744.0,2017.0
290,13089021303,1786.0,2017.0
291,13089021305,1787.0,2017.0
292,13089021306,1976.0,2017.0
293,13089021307,1256.0,2017.0
294,13089021308,1596.0,2017.0
295,13089021405,2174.0,2017.0
296,13089021409,1405.0,2017.0
297,13089021410,2192.0,2017.0
298,13089021411,1929.0,2017.0
299,13089021412,1519.0,2017.0
300,13089021413,1423.0,2017.0
301,13089021414,1953.0,2017.0
302,13089021415,1767.0,2017.0
303,13089021416,1006.0,2017.0
304,13089021417,2337.0,2017.0
305,13089021502,2537.0,2017.0
306,13089021503,1701.0,2017.0
307,13089021504,2971.0,2017.0
308,13089021602,2091.0,2017.0
309,13089021603,2928.0,2017.0
310,13089021604,1288.0,2017.0
311,13089021605,2743.0,2017.0
312,13089021703,1851.0,2017.0
313,13089021704,2407.0,2017.0
314,13089021705,2743.0,2017.0
315,13089021706,2824.0,2017.0
316,13089021805,2855.0,2017.0
317,13089021806,2827.0,2017.0
318,13089021808,1793.0,2017.0
319,13089021809,2962.0,2017.0
320,13089021810,2949.0,2017.0
321,13089021812,951.0,2017.0
322,13089021813,1234.0,2017.0
323,13089021814,2508.0,2017.0
324,13089021906,2128.0,2017.0
325,13089021907,3804.0,2017.0
326,13089021908,2366.0,2017.0
327,13089021909,3052.0,2017.0
328,13089021910,2359.0,2017.0
329,13089021911,1134.0,2017.0
330,13089021912,1545.0,2017.0
331,13089021913,2572.0,2017.0
332,13089022001,2138.0,2017.0
333,13089022004,1941.0,2017.0
334,13089022005,1805.0,2017.0
335,13089022007,1139.0,2017.0
336,13089022008,2568.0,2017.0
337,13089022009,2100.0,2017.0
338,13089022010,655.0,2017.0
339,13089022100,1674.0,2017.0
340,13089022203,1278.0,2017.0
341,13089022204,3107.0,2017.0
342,13089022301,3116.0,2017.0
343,13089022302,2073.0,2017.0
344,13089022401,2017.0,2017.0
345,13089022402,1202.0,2017.0
346,13089022403,1587.0,2017.0
347,13089022500,2380.0,2017.0
348,13089022600,3106.0,2017.0
349,13089022700,1730.0,2017.0
350,13089022800,1311.0,2017.0
351,13089022900,1916.0,2017.0
352,13089023000,1118.0,2017.0
353,13089023101,2010.0,2017.0
354,13089023102,1738.0,2017.0
355,13089023107,2027.0,2017.0
356,13089023108,1979.0,2017.0
357,13089023111,746.0,2017.0
358,13089023112,2432.0,2017.0
359,13089023113,1621.0,2017.0
360,13089023114,944.0,2017.0
361,13089023115,0.0,2017.0
362,13089023204,2592.0,2017.0
363,13089023206,3084.0,2017.0
364,13089023208,2483.0,2017.0
365,13089023209,1939.0,2017.0
366,13089023210,2887.0,2017.0
367,13089023211,1420.0,2017.0
368,13089023212,1455.0,2017.0
369,13089023213,2304.0,2017.0
370,13089023214,2496.0,2017.0
371,13089023303,2793.0,2017.0
372,13089023306,2576.0,2017.0
373,13089023309,4069.0,2017.0
374,13089023310,4320.0,2017.0
