,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
0,13121006601,1041.0,790.0,251.0,2012.0
1,13121006601,1020.0,808.0,212.0,2013.0
2,13121006601,1007.0,798.0,209.0,2014.0
3,13121006601,1020.0,782.0,238.0,2015.0
4,13121006601,1034.0,794.0,240.0,2016.0
5,13121006601,995.0,764.0,231.0,2017.0
6,13121006700,1864.0,1318.0,546.0,2012.0
7,13121006700,1924.0,1391.0,533.0,2013.0
8,13121006700,1953.0,1463.0,490.0,2014.0
9,13121006700,1981.0,1451.0,530.0,2015.0
10,13121006700,2020.0,1431.0,589.0,2016.0
11,13121006700,2070.0,1505.0,565.0,2017.0
12,13121009300,2852.0,2358.0,494.0,2012.0
13,13121009300,2740.0,2280.0,460.0,2013.0
14,13121009300,2690.0,2260.0,430.0,2014.0
15,13121009300,2672.0,2319.0,353.0,2015.0
16,13121009300,2652.0,2386.0,266.0,2016.0
17,13121009300,2658.0,2439.0,219.0,2017.0
18,13121009402,2674.0,2275.0,399.0,2012.0
19,13121009402,2809.0,2335.0,474.0,2013.0
20,13121009402,2910.0,2363.0,547.0,2014.0
21,13121009402,2864.0,2442.0,422.0,2015.0
22,13121009402,2758.0,2378.0,380.0,2016.0
23,13121009402,2862.0,2487.0,375.0,2017.0
25,13089023700,2785.0,2066.0,719.0,2012.0
26,13089023700,2711.0,2122.0,589.0,2013.0
27,13089023700,2626.0,2124.0,502.0,2014.0
28,13089023700,2613.0,2209.0,404.0,2015.0
29,13089023700,2641.0,2266.0,375.0,2016.0
30,13089023700,2694.0,2363.0,331.0,2017.0
31,13121001300,2536.0,2211.0,325.0,2012.0
32,13121001300,2484.0,2233.0,251.0,2013.0
33,13121001300,2472.0,2229.0,243.0,2014.0
34,13121001300,2500.0,2219.0,281.0,2015.0
35,13121001300,2457.0,2173.0,284.0,2016.0
36,13121001300,2496.0,2235.0,261.0,2017.0
37,13121001400,1591.0,1397.0,194.0,2012.0
38,13121001400,1522.0,1356.0,166.0,2013.0
39,13121001400,1495.0,1353.0,142.0,2014.0
40,13121001400,1485.0,1361.0,124.0,2015.0
41,13121001400,1514.0,1375.0,139.0,2016.0
42,13121001400,1458.0,1300.0,158.0,2017.0
43,13121001800,3112.0,2618.0,494.0,2012.0
44,13121001800,3146.0,2764.0,382.0,2013.0
45,13121001800,3156.0,2804.0,352.0,2014.0
46,13121001800,3235.0,2949.0,286.0,2015.0
47,13121001800,3294.0,2995.0,299.0,2016.0
48,13121001800,3277.0,3021.0,256.0,2017.0
49,13121001600,1331.0,1210.0,121.0,2012.0
50,13121001600,1382.0,1300.0,82.0,2013.0
51,13121001600,1373.0,1262.0,111.0,2014.0
52,13121001600,1379.0,1249.0,130.0,2015.0
53,13121001600,1440.0,1318.0,122.0,2016.0
54,13121001600,1515.0,1304.0,211.0,2017.0
55,13121001500,2953.0,2338.0,615.0,2012.0
56,13121001500,2897.0,2289.0,608.0,2013.0
57,13121001500,2863.0,2396.0,467.0,2014.0
58,13121001500,2886.0,2511.0,375.0,2015.0
59,13121001500,2932.0,2487.0,445.0,2016.0
60,13121001500,2845.0,2437.0,408.0,2017.0
61,13121001900,2038.0,1203.0,835.0,2012.0
62,13121001900,1949.0,1178.0,771.0,2013.0
63,13121001900,1936.0,1274.0,662.0,2014.0
64,13121001900,1921.0,1335.0,586.0,2015.0
65,13121001900,1880.0,1347.0,533.0,2016.0
66,13121001900,1898.0,1382.0,516.0,2017.0
67,13121000500,3261.0,2264.0,997.0,2012.0
68,13121000500,3279.0,2227.0,1052.0,2013.0
69,13121000500,3415.0,2365.0,1050.0,2014.0
70,13121000500,3472.0,2567.0,905.0,2015.0
71,13121000500,3541.0,2737.0,804.0,2016.0
72,13121000500,3524.0,2703.0,821.0,2017.0
73,13121003600,970.0,704.0,266.0,2012.0
74,13121003600,1001.0,703.0,298.0,2013.0
75,13121003600,1028.0,761.0,267.0,2014.0
76,13121003600,1020.0,818.0,202.0,2015.0
77,13121003600,1002.0,765.0,237.0,2016.0
78,13121003600,1014.0,831.0,183.0,2017.0
79,13121010002,3448.0,2887.0,561.0,2012.0
80,13121010002,3668.0,2961.0,707.0,2013.0
81,13121010002,3849.0,3097.0,752.0,2014.0
82,13121010002,3954.0,3185.0,769.0,2015.0
83,13121010002,4034.0,3303.0,731.0,2016.0
84,13121010002,4191.0,3344.0,847.0,2017.0
85,13121010001,2514.0,2294.0,220.0,2012.0
86,13121010001,2501.0,2260.0,241.0,2013.0
87,13121010001,2544.0,2218.0,326.0,2014.0
88,13121010001,2615.0,2293.0,322.0,2015.0
89,13121010001,2799.0,2436.0,363.0,2016.0
90,13121010001,2992.0,2442.0,550.0,2017.0
91,13121009802,1994.0,1854.0,140.0,2012.0
92,13121009802,1993.0,1866.0,127.0,2013.0
93,13121009802,2079.0,1934.0,145.0,2014.0
94,13121009802,2127.0,1967.0,160.0,2015.0
95,13121009802,2149.0,1946.0,203.0,2016.0
96,13121009802,2123.0,1844.0,279.0,2017.0
97,13121006801,7.0,0.0,7.0,2012.0
98,13121006801,7.0,0.0,7.0,2013.0
99,13121006801,7.0,0.0,7.0,2014.0
100,13121006801,7.0,0.0,7.0,2015.0
101,13121006801,0.0,0.0,0.0,2016.0
102,13121006801,0.0,0.0,0.0,2017.0
103,13121009700,1731.0,1604.0,127.0,2012.0
104,13121009700,1680.0,1539.0,141.0,2013.0
105,13121009700,1633.0,1471.0,162.0,2014.0
106,13121009700,1631.0,1400.0,231.0,2015.0
107,13121009700,1640.0,1344.0,296.0,2016.0
108,13121009700,1667.0,1351.0,316.0,2017.0
109,13121007100,1184.0,907.0,277.0,2012.0
110,13121007100,1093.0,755.0,338.0,2013.0
111,13121007100,1010.0,707.0,303.0,2014.0
112,13121007100,1033.0,711.0,322.0,2015.0
