,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,000 to $3,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,500 or more",CONTRACT RENT_Estimate!!Total!!No cash rent,YEAR
265,13089020100,205.0,199.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,9.0,106.0,11.0,9.0,22.0,6.0,2017.0
266,13089020200,402.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,50.0,18.0,9.0,58.0,82.0,149.0,7.0,9.0,12.0,0.0,0.0,0.0,0.0,2017.0
267,13089020300,468.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,27.0,29.0,48.0,89.0,98.0,41.0,65.0,27.0,0.0,8.0,0.0,0.0,2017.0
268,13089020400,549.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,76.0,61.0,28.0,28.0,183.0,26.0,86.0,8.0,19.0,8.0,0.0,0.0,0.0,6.0,2017.0
269,13089020500,681.0,681.0,43.0,50.0,12.0,11.0,16.0,0.0,0.0,11.0,36.0,68.0,22.0,10.0,15.0,71.0,0.0,68.0,42.0,140.0,32.0,29.0,5.0,0.0,0.0,0.0,0.0,2017.0
270,13089020600,601.0,578.0,31.0,11.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,14.0,58.0,53.0,34.0,23.0,24.0,88.0,87.0,97.0,9.0,0.0,0.0,25.0,0.0,23.0,2017.0
271,13089020700,437.0,417.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,44.0,40.0,75.0,40.0,29.0,34.0,23.0,32.0,24.0,23.0,38.0,0.0,0.0,0.0,0.0,20.0,2017.0
272,13089020801,205.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,4.0,5.0,22.0,0.0,22.0,19.0,86.0,12.0,0.0,0.0,0.0,11.0,2017.0
273,13089020802,676.0,669.0,70.0,34.0,21.0,11.0,39.0,62.0,0.0,37.0,29.0,24.0,0.0,32.0,66.0,9.0,55.0,81.0,45.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,2017.0
274,13089020900,824.0,824.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,41.0,0.0,20.0,0.0,59.0,125.0,0.0,15.0,81.0,61.0,135.0,133.0,91.0,0.0,0.0,0.0,0.0,0.0,2017.0
275,13089021101,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,39.0,14.0,13.0,0.0,2.0,0.0,2017.0
276,13089021102,1384.0,1384.0,0.0,0.0,14.0,15.0,16.0,52.0,0.0,0.0,0.0,15.0,0.0,43.0,0.0,0.0,19.0,0.0,11.0,290.0,353.0,435.0,102.0,19.0,0.0,0.0,0.0,2017.0
277,13089021202,767.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,36.0,86.0,254.0,234.0,65.0,0.0,0.0,0.0,19.0,2017.0
278,13089021204,843.0,830.0,0.0,0.0,25.0,0.0,0.0,27.0,13.0,0.0,12.0,0.0,54.0,65.0,58.0,46.0,174.0,214.0,105.0,13.0,11.0,13.0,0.0,0.0,0.0,0.0,13.0,2017.0
279,13089021208,756.0,708.0,0.0,43.0,11.0,0.0,10.0,0.0,0.0,0.0,17.0,20.0,0.0,14.0,25.0,15.0,8.0,67.0,29.0,250.0,48.0,119.0,0.0,32.0,0.0,0.0,48.0,2017.0
280,13089021209,1791.0,1728.0,15.0,87.0,0.0,22.0,140.0,25.0,14.0,0.0,0.0,41.0,0.0,0.0,0.0,12.0,0.0,261.0,122.0,190.0,324.0,358.0,30.0,32.0,0.0,55.0,63.0,2017.0
