,GEOID,GROSS RENT_Estimate!!Total,GROSS RENT_Estimate!!Total!!With cash rent,GROSS RENT_Estimate!!Total!!With cash rent!!Less than $100,GROSS RENT_Estimate!!Total!!With cash rent!!$100 to $149,GROSS RENT_Estimate!!Total!!With cash rent!!$150 to $199,GROSS RENT_Estimate!!Total!!With cash rent!!$200 to $249,GROSS RENT_Estimate!!Total!!With cash rent!!$250 to $299,GROSS RENT_Estimate!!Total!!With cash rent!!$300 to $349,GROSS RENT_Estimate!!Total!!With cash rent!!$350 to $399,GROSS RENT_Estimate!!Total!!With cash rent!!$400 to $449,GROSS RENT_Estimate!!Total!!With cash rent!!$450 to $499,GROSS RENT_Estimate!!Total!!With cash rent!!$500 to $549,GROSS RENT_Estimate!!Total!!With cash rent!!$550 to $599,GROSS RENT_Estimate!!Total!!With cash rent!!$600 to $649,GROSS RENT_Estimate!!Total!!With cash rent!!$650 to $699,GROSS RENT_Estimate!!Total!!With cash rent!!$700 to $749,GROSS RENT_Estimate!!Total!!With cash rent!!$750 to $799,GROSS RENT_Estimate!!Total!!With cash rent!!$800 to $899,GROSS RENT_Estimate!!Total!!With cash rent!!$900 to $999,"GROSS RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","GROSS RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","GROSS RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","GROSS RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","GROSS RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
0,13121006601,388.0,368.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.0,12.0,0.0,30.0,5.0,0.0,41.0,33.0,44.0,40.0,49.0,39.0,28.0,0.0,20.0,2014.0
1,13121006601,361.0,332.0,0.0,0.0,0.0,29.0,0.0,5.0,12.0,0.0,0.0,4.0,28.0,5.0,0.0,34.0,22.0,40.0,46.0,66.0,32.0,9.0,0.0,0.0,2015.0
2,13121006601,394.0,364.0,0.0,0.0,0.0,32.0,0.0,6.0,12.0,0.0,0.0,6.0,17.0,24.0,0.0,0.0,29.0,41.0,41.0,120.0,27.0,9.0,0.0,0.0,2016.0
3,13121006601,332.0,303.0,0.0,0.0,0.0,21.0,12.0,6.0,12.0,0.0,0.0,4.0,18.0,6.0,5.0,0.0,8.0,29.0,53.0,102.0,19.0,8.0,0.0,0.0,2017.0
4,13121006700,888.0,840.0,22.0,29.0,36.0,0.0,11.0,67.0,0.0,26.0,20.0,11.0,28.0,35.0,11.0,31.0,0.0,152.0,44.0,207.0,61.0,49.0,0.0,48.0,2014.0
5,13121006700,872.0,839.0,23.0,30.0,42.0,0.0,24.0,69.0,0.0,26.0,19.0,16.0,28.0,40.0,12.0,48.0,13.0,103.0,67.0,206.0,26.0,47.0,0.0,0.0,2015.0
6,13121006700,941.0,917.0,0.0,44.0,37.0,0.0,14.0,74.0,0.0,26.0,19.0,45.0,26.0,40.0,28.0,39.0,34.0,97.0,67.0,186.0,94.0,47.0,0.0,0.0,2016.0
7,13121006700,954.0,929.0,23.0,36.0,62.0,31.0,9.0,48.0,8.0,0.0,20.0,38.0,33.0,58.0,26.0,52.0,37.0,97.0,16.0,229.0,87.0,19.0,0.0,0.0,2017.0
8,13121009300,827.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,29.0,52.0,64.0,45.0,306.0,76.0,87.0,156.0,0.0,2014.0
9,13121009300,865.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,55.0,102.0,41.0,290.0,88.0,118.0,142.0,0.0,2015.0
