,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
265,13089020100,2288.0,2017.0
266,13089020200,1071.0,2017.0
267,13089020300,1238.0,2017.0
268,13089020400,934.0,2017.0
269,13089020500,898.0,2017.0
270,13089020600,1099.0,2017.0
271,13089020700,873.0,2017.0
272,13089020801,1582.0,2017.0
273,13089020802,755.0,2017.0
274,13089020900,1090.0,2017.0
275,13089021101,1744.0,2017.0
276,13089021102,1552.0,2017.0
277,13089021202,1597.0,2017.0
278,13089021204,874.0,2017.0
279,13089021208,1198.0,2017.0
280,13089021209,1307.0,2017.0
281,13089021210,2625.0,2017.0
282,13089021211,1932.0,2017.0
283,13089021213,2125.0,2017.0
284,13089021214,-666666666.0,2017.0
285,13089021215,1483.0,2017.0
286,13089021216,1445.0,2017.0
287,13089021217,1190.0,2017.0
288,13089021218,1288.0,2017.0
289,13089021301,1062.0,2017.0
290,13089021303,971.0,2017.0
291,13089021305,972.0,2017.0
292,13089021306,1027.0,2017.0
293,13089021307,1170.0,2017.0
294,13089021308,1016.0,2017.0
295,13089021405,1530.0,2017.0
296,13089021409,1004.0,2017.0
297,13089021410,1135.0,2017.0
298,13089021411,1542.0,2017.0
299,13089021412,1403.0,2017.0
300,13089021413,1019.0,2017.0
301,13089021414,1149.0,2017.0
302,13089021415,1303.0,2017.0
303,13089021416,943.0,2017.0
304,13089021417,1179.0,2017.0
305,13089021502,1177.0,2017.0
306,13089021503,969.0,2017.0
307,13089021504,1457.0,2017.0
308,13089021602,1095.0,2017.0
309,13089021603,1265.0,2017.0
310,13089021604,1774.0,2017.0
311,13089021605,1163.0,2017.0
312,13089021703,1183.0,2017.0
313,13089021704,1169.0,2017.0
314,13089021705,982.0,2017.0
315,13089021706,1171.0,2017.0
316,13089021805,1039.0,2017.0
317,13089021806,980.0,2017.0
318,13089021808,1189.0,2017.0
319,13089021809,1330.0,2017.0
320,13089021810,1394.0,2017.0
321,13089021812,1194.0,2017.0
322,13089021813,962.0,2017.0
323,13089021814,857.0,2017.0
324,13089021906,1027.0,2017.0
325,13089021907,1014.0,2017.0
326,13089021908,875.0,2017.0
327,13089021909,919.0,2017.0
328,13089021910,919.0,2017.0
329,13089021911,847.0,2017.0
330,13089021912,2659.0,2017.0
331,13089021913,794.0,2017.0
332,13089022001,1126.0,2017.0
333,13089022004,1104.0,2017.0
334,13089022005,847.0,2017.0
335,13089022007,891.0,2017.0
336,13089022008,828.0,2017.0
337,13089022009,875.0,2017.0
338,13089022010,962.0,2017.0
339,13089022100,778.0,2017.0
340,13089022203,1154.0,2017.0
341,13089022204,1038.0,2017.0
342,13089022301,1115.0,2017.0
343,13089022302,1104.0,2017.0
344,13089022401,1321.0,2017.0
345,13089022402,1483.0,2017.0
346,13089022403,1133.0,2017.0
347,13089022500,522.0,2017.0
348,13089022600,884.0,2017.0
349,13089022700,955.0,2017.0
350,13089022800,1035.0,2017.0
351,13089022900,933.0,2017.0
352,13089023000,1133.0,2017.0
353,13089023101,1059.0,2017.0
354,13089023102,792.0,2017.0
355,13089023107,1095.0,2017.0
356,13089023108,922.0,2017.0
357,13089023111,1354.0,2017.0
358,13089023112,804.0,2017.0
359,13089023113,741.0,2017.0
360,13089023114,1153.0,2017.0
361,13089023115,-666666666.0,2017.0
362,13089023204,1230.0,2017.0
363,13089023206,1135.0,2017.0
364,13089023208,943.0,2017.0
365,13089023209,1328.0,2017.0
366,13089023210,970.0,2017.0
367,13089023211,952.0,2017.0
368,13089023212,1066.0,2017.0
369,13089023213,1023.0,2017.0
370,13089023214,979.0,2017.0
371,13089023303,938.0,2017.0
372,13089023306,1386.0,2017.0
373,13089023309,1101.0,2017.0
374,13089023310,965.0,2017.0
375,13089023311,1481.0,2017.0
376,13089023312,1130.0,2017.0
377,13089023313,1211.0,2017.0
378,13089023314,971.0,2017.0
379,13089023315,1395.0,2017.0
380,13089023316,1222.0,2017.0
381,13089023410,846.0,2017.0
382,13089023411,943.0,2017.0
383,13089023412,845.0,2017.0
384,13089023413,1045.0,2017.0
385,13089023414,955.0,2017.0
386,13089023416,1165.0,2017.0
387,13089023418,1062.0,2017.0
