,GEOID,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total,"HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!Less than $10,000!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$10,000 to $19,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$20,000 to $34,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!Less than 20.0 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!50.0 percent or more","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$35,000 to $49,999!!Not computed","HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS_Estimate!!Total!!$50,000 to $74,999",YEAR
265,13089020100,205.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,22.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,2017.0
266,13089020200,402.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,42.0,0.0,0.0,8.0,0.0,8.0,26.0,0.0,0.0,46.0,0.0,0.0,38.0,0.0,8.0,0.0,0.0,0.0,133.0,2017.0
267,13089020300,468.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,26.0,0.0,0.0,8.0,0.0,0.0,102.0,0.0,10.0,38.0,19.0,28.0,0.0,7.0,0.0,100.0,2017.0
268,13089020400,549.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,69.0,0.0,0.0,10.0,0.0,20.0,39.0,0.0,0.0,190.0,27.0,43.0,96.0,8.0,16.0,0.0,0.0,0.0,67.0,2017.0
269,13089020500,681.0,210.0,13.0,12.0,0.0,0.0,0.0,11.0,127.0,47.0,106.0,13.0,61.0,0.0,0.0,12.0,0.0,20.0,0.0,64.0,0.0,0.0,0.0,10.0,26.0,25.0,3.0,0.0,99.0,7.0,21.0,32.0,30.0,0.0,9.0,0.0,0.0,53.0,2017.0
270,13089020600,601.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,54.0,167.0,0.0,0.0,0.0,0.0,0.0,18.0,149.0,0.0,113.0,8.0,0.0,0.0,11.0,25.0,47.0,22.0,0.0,54.0,0.0,0.0,10.0,22.0,22.0,0.0,0.0,0.0,29.0,2017.0
271,13089020700,437.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,69.0,0.0,0.0,15.0,0.0,0.0,0.0,54.0,0.0,110.0,0.0,0.0,11.0,63.0,11.0,6.0,14.0,5.0,61.0,0.0,35.0,5.0,19.0,0.0,0.0,0.0,2.0,57.0,2017.0
272,13089020801,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,29.0,0.0,0.0,0.0,0.0,9.0,11.0,44.0,2017.0
273,13089020802,676.0,173.0,23.0,10.0,11.0,0.0,0.0,0.0,111.0,18.0,197.0,47.0,0.0,76.0,0.0,0.0,0.0,74.0,0.0,106.0,0.0,0.0,0.0,16.0,36.0,33.0,21.0,0.0,104.0,8.0,0.0,91.0,0.0,5.0,0.0,0.0,0.0,45.0,2017.0
274,13089020900,824.0,167.0,0.0,0.0,0.0,16.0,0.0,30.0,71.0,50.0,87.0,0.0,0.0,0.0,0.0,0.0,30.0,57.0,0.0,130.0,17.0,0.0,27.0,0.0,44.0,16.0,26.0,0.0,135.0,14.0,58.0,63.0,0.0,0.0,0.0,0.0,0.0,126.0,2017.0
275,13089021101,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2017.0
276,13089021102,1384.0,93.0,0.0,0.0,14.0,15.0,0.0,0.0,17.0,47.0,169.0,0.0,33.0,35.0,0.0,0.0,58.0,43.0,0.0,88.0,0.0,0.0,0.0,19.0,0.0,33.0,36.0,0.0,168.0,0.0,0.0,11.0,0.0,55.0,43.0,59.0,0.0,304.0,2017.0
277,13089021202,767.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,50.0,39.0,15.0,106.0,0.0,0.0,0.0,0.0,19.0,46.0,41.0,0.0,239.0,2017.0
278,13089021204,843.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,11.0,185.0,0.0,25.0,0.0,0.0,0.0,9.0,151.0,0.0,280.0,0.0,14.0,13.0,54.0,24.0,102.0,73.0,0.0,109.0,40.0,19.0,38.0,12.0,0.0,0.0,0.0,0.0,133.0,2017.0
279,13089021208,756.0,57.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,86.0,0.0,33.0,0.0,0.0,27.0,0.0,26.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,13.0,47.0,20.0,119.0,14.0,45.0,15.0,26.0,9.0,0.0,0.0,10.0,123.0,2017.0
280,13089021209,1791.0,218.0,48.0,16.0,47.0,0.0,0.0,0.0,90.0,17.0,190.0,0.0,26.0,14.0,0.0,0.0,47.0,87.0,16.0,235.0,49.0,0.0,0.0,0.0,12.0,42.0,132.0,0.0,207.0,0.0,16.0,57.0,59.0,11.0,11.0,53.0,0.0,331.0,2017.0
281,13089021210,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2017.0
282,13089021211,223.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2017.0
283,13089021213,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2017.0
284,13089021214,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
285,13089021215,1814.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,82.0,0.0,0.0,0.0,15.0,14.0,53.0,0.0,0.0,368.0,2017.0
