,GEOID,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT_Estimate!!Total,YEAR
265,13089020100,205.0,2017.0
266,13089020200,402.0,2017.0
267,13089020300,468.0,2017.0
268,13089020400,549.0,2017.0
269,13089020500,681.0,2017.0
270,13089020600,601.0,2017.0
271,13089020700,437.0,2017.0
272,13089020801,205.0,2017.0
273,13089020802,676.0,2017.0
274,13089020900,824.0,2017.0
275,13089021101,98.0,2017.0
276,13089021102,1384.0,2017.0
277,13089021202,767.0,2017.0
278,13089021204,843.0,2017.0
279,13089021208,756.0,2017.0
280,13089021209,1791.0,2017.0
281,13089021210,113.0,2017.0
282,13089021211,223.0,2017.0
283,13089021213,39.0,2017.0
284,13089021214,43.0,2017.0
285,13089021215,1814.0,2017.0
286,13089021216,3242.0,2017.0
287,13089021217,354.0,2017.0
288,13089021218,2149.0,2017.0
289,13089021301,1257.0,2017.0
290,13089021303,1022.0,2017.0
291,13089021305,983.0,2017.0
292,13089021306,1243.0,2017.0
293,13089021307,475.0,2017.0
294,13089021308,721.0,2017.0
295,13089021405,532.0,2017.0
296,13089021409,1140.0,2017.0
297,13089021410,1242.0,2017.0
298,13089021411,1113.0,2017.0
299,13089021412,379.0,2017.0
300,13089021413,1025.0,2017.0
301,13089021414,1495.0,2017.0
302,13089021415,828.0,2017.0
303,13089021416,369.0,2017.0
304,13089021417,1828.0,2017.0
305,13089021502,1287.0,2017.0
306,13089021503,857.0,2017.0
307,13089021504,1690.0,2017.0
308,13089021602,716.0,2017.0
309,13089021603,1594.0,2017.0
310,13089021604,82.0,2017.0
311,13089021605,1544.0,2017.0
312,13089021703,132.0,2017.0
313,13089021704,487.0,2017.0
314,13089021705,1344.0,2017.0
315,13089021706,846.0,2017.0
316,13089021805,593.0,2017.0
317,13089021806,1376.0,2017.0
318,13089021808,503.0,2017.0
319,13089021809,286.0,2017.0
320,13089021810,985.0,2017.0
321,13089021812,265.0,2017.0
322,13089021813,1113.0,2017.0
323,13089021814,1425.0,2017.0
324,13089021906,749.0,2017.0
325,13089021907,1276.0,2017.0
326,13089021908,1525.0,2017.0
327,13089021909,1826.0,2017.0
328,13089021910,1051.0,2017.0
329,13089021911,700.0,2017.0
330,13089021912,73.0,2017.0
331,13089021913,1830.0,2017.0
332,13089022001,657.0,2017.0
333,13089022004,459.0,2017.0
334,13089022005,1076.0,2017.0
335,13089022007,1044.0,2017.0
336,13089022008,1927.0,2017.0
337,13089022009,1657.0,2017.0
338,13089022010,235.0,2017.0
339,13089022100,736.0,2017.0
340,13089022203,872.0,2017.0
341,13089022204,1904.0,2017.0
342,13089022301,1273.0,2017.0
343,13089022302,1063.0,2017.0
344,13089022401,832.0,2017.0
345,13089022402,780.0,2017.0
346,13089022403,190.0,2017.0
347,13089022500,922.0,2017.0
348,13089022600,1163.0,2017.0
349,13089022700,381.0,2017.0
350,13089022800,233.0,2017.0
351,13089022900,398.0,2017.0
352,13089023000,326.0,2017.0
353,13089023101,770.0,2017.0
354,13089023102,857.0,2017.0
355,13089023107,819.0,2017.0
