"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic"," %Black Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","% Hispanic","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 950100",="13001950100",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 950200",="13001950200",70,94,66,100,6,23,1.9,124,291,424,13989,7446,-1,41,26,21,12,41,-1,59,36,89,52,-1,39,86,38,42,62,27,8,47,26,20,2,80,77,-1,-1,2,2,1,80,100,157,15,45,39,52,28,54,54,="NA",="99999",="06016",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 950300",="13001950300",114,90,104,100,5,20,1.7,173,281,449,13061,7852,-1,42,36,11,12,28,-1,72,35,87,51,-1,26,78,24,47,61,36,2,36,28,35,1,48,46,1,-1,1,1,1,62,100,130,33,40,27,41,31,33,63,="NA",="99999",="06016",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 950400",="13001950400",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 950500",="13001950500",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Appling County 999999",="13001999999",1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="99999",="06016",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Atkinson County 960100",="13003960100",23,96,22,100,3,18,2,43,251,448,10766,5508,-1,64,27,5,5,27,-1,73,28,91,64,-1,55,82,50,29,20,16,27,41,9,23,-1,68,68,-1,-1,-1,0,-1,39,100,138,36,36,27,23,27,46,50,="NA",="20060",="82972",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Atkinson County 960200",="13003960200",47,91,46,100,4,35,2.2,100,219,596,10173,4679,22,39,20,15,4,50,-1,50,26,96,67,7,52,89,54,15,71,11,30,43,11,15,2,63,63,-1,-1,-1,0,-1,57,100,101,26,46,28,17,24,47,42,="NA",="20060",="59808",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Atkinson County 960300",="13003960300",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Atkinson County 999999",="13003999999",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="20060",="59808",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Bacon County 970100",="13005970100",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Bacon County 970201",="13005970201",171,80,137,100,5,20,2.1,294,283,514,14190,6612,7,34,26,15,17,42,-1,57,34,85,53,1,45,85,46,31,52,17,8,50,23,20,1,83,82,-1,-1,-1,1,2,72,100,128,22,45,33,29,24,29,62,="NA",="99999",="01612",="NA",="NA",="GA",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="GA Georgia Bacon County 970202",="13005970202",144,68,98,100,5,29,2.5,241,260,519,13181,5360,14,33,21,12,19,43,1,56,31,86,62,1,50,78,50,17,32,10,10,56,12,21,-1,73,73,-1,-1,-1,0,2,68,100,151,32,19,49,21,22,26,61,="NA",="99999",="01612",="NA",="NA",="GA",="NA",="NA"
