"GEOID","RentBurdenedHHs","TotalLowIncomeHHs","MedianIncomeHH"
13089020100,82,47,174526
13089020200,176,132,87889
13089020300,225,169,113088
13089020400,330,304,78681
13089020500,642,432,55208
13089020600,524,402,43295
13089020700,351,278,53833
13089020801,68,68,92594
13089020802,735,562,57204
13089020900,636,469,66536
13089021101,22,22,162159
13089021102,564,471,83628
13089021202,332,278,99928
13089021204,709,636,26523
13089021208,348,291,67850
13089021209,1035,817,72317
13089021210,33,33,152011
13089021211,56,40,102500
13089021213,0,0,147550
13089021214,0,0,140481
13089021215,368,287,97894
13089021216,1020,902,84889
13089021217,169,128,88000
13089021218,908,736,55709
13089021301,702,591,50081
13089021303,720,660,38710
13089021305,770,685,49487
13089021306,805,733,49835
13089021307,308,259,49468
13089021308,498,496,46496
13089021405,179,137,135020
13089021409,672,652,46985
13089021410,799,695,55208
13089021411,432,356,96071
13089021412,92,92,119297
13089021413,740,661,42143
13089021414,970,877,45966
13089021415,243,221,104226
13089021416,252,252,79844
13089021417,1184,1098,47616
13089021502,804,633,69215
13089021503,563,513,52434
13089021504,1011,769,58519
13089021602,451,386,68750
13089021603,890,745,58000
13089021604,0,0,150625
13089021605,928,770,69509
13089021703,138,95,134712
13089021704,257,232,93529
13089021705,1013,798,41481
13089021706,530,436,81033
13089021805,444,392,57297
13089021806,1140,1008,51174
13089021808,349,303,73750
13089021809,220,220,91528
13089021810,562,364,68837
13089021812,167,167,63690
13089021813,816,777,35991
13089021814,1094,1025,34887
13089021906,606,540,41963
13089021907,963,920,50257
13089021908,1430,1212,30985
13089021909,1921,1533,33601
13089021910,834,742,41951
13089021911,704,605,23532
13089021912,2,2,144844
13089021913,1547,1312,30962
13089022001,319,294,68327
13089022004,278,271,50431
13089022005,952,778,32262
13089022007,959,800,30606
13089022008,1929,1537,26577
13089022009,1212,1084,37086
13089022010,156,149,58182
13089022100,624,531,34479
13089022203,529,443,53819
13089022204,1176,1065,47421
13089022301,673,480,66260
13089022302,677,515,74500
13089022401,568,477,86366
13089022402,610,399,38944
13089022403,84,41,151037
13089022500,962,661,78555
13089022600,823,692,79806
13089022700,388,251,102604
13089022800,92,92,128393
13089022900,264,207,73472
13089023000,190,152,66250
13089023101,517,460,49667
13089023102,831,653,39703
13089023107,543,500,42688
13089023108,1100,893,31078
13089023111,93,81,59306
13089023112,1899,1527,26870
13089023113,808,703,31984
13089023114,142,112,50889
13089023204,440,356,50500
13089023206,983,787,50142
13089023208,766,704,40182
13089023209,282,229,54907
13089023210,1061,968,39583
13089023211,401,383,53563
13089023212,312,285,61510
13089023213,978,858,43821
13089023214,859,748,49304
13089023303,905,689,45134
13089023306,257,220,61975
13089023309,1436,1259,46220
13089023310,2600,2135,33879
13089023311,184,178,77065
13089023312,428,338,65716
13089023313,390,384,47010
13089023314,440,307,51339
13089023315,162,135,66818
13089023316,206,149,61860
13089023410,957,811,30250
13089023411,601,459,37479
13089023412,426,354,47004
13089023413,146,122,52457
13089023414,748,573,58316
13089023416,497,336,64215
13089023418,2088,1904,48509
13089023419,399,324,64205
13089023421,1364,1151,40399
13089023422,338,279,60313
13089023423,150,132,73042
13089023424,284,194,62054
13089023425,468,403,59966
13089023426,192,161,72250
13089023427,145,124,65265
13089023428,1688,1496,39641
13089023501,684,619,31591
13089023504,682,562,27270
13089023505,297,285,37179
13089023506,591,519,42301
13089023507,452,320,44385
13089023601,173,137,68217
13089023602,251,217,39524
13089023603,657,549,31125
13089023700,1236,913,45077
13089023801,273,261,69036
13089023802,727,595,41276
13089023803,455,346,46055
13121000100,45,45,149450
13121000200,273,255,116094
13121000400,138,109,91857
13121000500,675,593,85750
13121000600,1047,689,50969
13121000700,62,49,71214
13121001001,127,104,80132
13121001002,384,199,27250
13121001100,428,319,99205
13121001201,1259,917,58603
13121001202,600,488,83063
13121001300,803,680,66223
13121001400,245,185,86333
13121001500,1129,850,63464
13121001600,457,393,66806
13121001700,858,682,60069
13121001800,1903,1276,42159
13121001900,489,401,62222
13121002100,464,353,51250
13121002300,402,328,27674
13121002400,494,373,30972
13121002500,719,596,26066
13121002600,554,429,26350
13121002800,1121,791,26059
13121002900,443,378,63112
13121003000,295,279,94079
13121003100,346,333,46467
13121003200,159,159,84350
13121003500,205,161,55585
13121003600,556,418,41372
13121003800,130,83,22150
13121003900,486,393,36174
13121004000,622,433,28191
13121004100,376,321,38519
13121004200,1379,977,18569
13121004300,539,426,28287
13121004400,1183,940,18030
13121004800,636,442,16413
13121004900,293,266,77875
13121005000,176,170,79250
13121005200,348,277,93580
13121005300,206,182,93456
13121005501,606,424,30469
13121005502,965,689,19469
13121005700,571,480,19698
13121005800,280,205,31625
13121006000,671,593,35549
13121006100,639,448,29276
13121006200,295,241,27115
13121006300,336,237,24893
13121006400,193,163,43690
13121006500,645,442,39274
13121006601,351,243,36250
13121006602,395,309,20170
13121006700,916,699,23017
13121006802,557,298,9815
13121006900,310,283,71359
13121007001,857,665,26436
13121007002,538,481,34286
13121007100,413,324,22500
13121007200,472,391,24722
13121007300,1819,1436,24465
13121007400,1020,764,17796
13121007500,1165,904,23563
13121007602,551,440,34136
13121007603,2453,1783,13792
13121007604,898,690,18537
13121007703,568,514,42150
13121007704,1085,896,30497
13121007705,1389,1084,22592
13121007706,2505,2288,36369
13121007802,1121,959,44932
13121007805,782,656,33255
13121007806,1147,982,31192
13121007807,797,545,21912
13121007808,1466,914,12266
13121007900,329,269,54467
13121008000,504,380,41450
13121008101,122,71,31833
13121008102,2027,1664,24940
13121008201,1081,937,31037
13121008202,410,363,27454
13121008301,568,448,27023
13121008302,284,239,28949
13121008400,1047,824,21708
13121008500,399,375,28364
13121008601,1263,932,21846
13121008602,416,367,36815
13121008700,1649,1459,29583
13121008800,352,277,95524
13121008902,1488,1260,57142
13121008903,193,193,71548
13121008904,446,384,78924
13121009000,307,277,105197
13121009101,504,397,76981
13121009102,747,602,54174
13121009200,1216,960,65957
13121009300,532,342,100844
13121009402,869,675,69034
13121009403,1434,1207,45102
13121009404,376,336,73649
13121009501,142,134,149688
13121009502,478,383,89298
13121009601,277,241,94265
13121009602,442,334,101689
13121009603,755,596,75987
13121009700,17,17,200179
13121009801,368,312,105536
13121009802,155,140,158800
13121009900,322,307,124643
13121010001,359,257,103894
13121010002,351,301,138864
13121010106,409,365,74167
13121010107,23,23,174875
13121010108,158,145,148000
13121010110,922,779,70456
13121010113,1235,1198,51344
13121010114,1000,949,66186
13121010115,215,215,116923
13121010117,790,744,55782
13121010118,1307,1077,43902
13121010119,1257,956,43621
13121010120,254,216,67727
13121010121,242,162,86402
13121010122,804,721,78542
13121010123,490,473,69479
13121010204,15,8,163214
13121010205,200,172,111103
13121010206,96,85,177188
13121010208,887,701,56897
13121010209,960,916,60614
13121010210,596,507,72979
13121010211,103,103,138393
13121010212,666,623,52270
13121010301,1075,908,65340
13121010303,779,650,63209
13121010304,398,365,79397
13121010400,446,366,50294
13121010507,1148,1069,39190
13121010508,115,76,46983
13121010510,3145,2784,38223
13121010511,617,415,58173
13121010512,1880,1520,30819
13121010513,1629,1440,43931
13121010514,1260,1060,56991
13121010515,716,588,43316
13121010516,555,454,50030
13121010601,995,681,29786
13121010603,1081,941,29066
13121010604,783,612,33133
13121010800,1084,896,44828
13121011000,577,451,27344
13121011100,413,364,51848
13121011201,857,752,35470
13121011202,777,638,40150
13121011301,151,98,51148
13121011303,1541,1345,45000
13121011305,1873,1465,25823
13121011306,604,475,34907
13121011405,869,869,63890
13121011410,225,225,116102
13121011411,369,360,70663
13121011412,765,693,85333
13121011414,824,745,72663
13121011416,112,112,103813
13121011417,352,254,96538
13121011418,24,24,130653
13121011419,183,167,105714
13121011420,1333,1278,41275
13121011421,795,735,47428
13121011422,228,206,64402
13121011423,102,94,116250
13121011424,73,73,104861
13121011425,228,207,198808
13121011426,47,47,101500
13121011427,135,135,108295
13121011503,50,33,147394
13121011504,53,37,193419
13121011505,0,0,179000
13121011506,45,31,155980
13121011610,212,202,102656
13121011611,1240,1114,59095
13121011612,10,0,110329
13121011613,289,254,101902
13121011614,1105,961,74191
13121011615,181,125,136921
13121011616,615,508,71145
13121011617,199,154,106367
13121011618,171,124,110335
13121011619,766,711,80469
13121011620,160,160,120227
13121011621,250,250,155842
13121011622,181,103,137643
13121011623,259,209,104164
13121011624,0,0,184830
13121011625,245,232,107175
13121011626,570,454,94803
13121011800,960,514,16087
13121011900,1623,1186,26032
13121012000,974,771,28902
13121012300,487,417,48155
13121003700,124,110,22679
