GEOID,YEAR,Income,Rent as % of Income,HHs
13121006601,2014,"Less than $10,000",Less than 20.0 percent,0
13121006601,2014,"Less than $10,000",20.0 to 24.9 percent,0
13121006601,2014,"Less than $10,000",25.0 to 29.9 percent,18
13121006601,2014,"Less than $10,000",30.0 to 34.9 percent,0
13121006601,2014,"Less than $10,000",35.0 to 39.9 percent,0
13121006601,2014,"Less than $10,000",40.0 to 49.9 percent,0
13121006601,2014,"Less than $10,000",50.0 percent or more,66
13121006601,2014,"$10,000 to $19,999",Less than 20.0 percent,11
13121006601,2014,"$10,000 to $19,999",20.0 to 24.9 percent,0
13121006601,2014,"$10,000 to $19,999",25.0 to 29.9 percent,0
13121006601,2014,"$10,000 to $19,999",30.0 to 34.9 percent,12
13121006601,2014,"$10,000 to $19,999",35.0 to 39.9 percent,0
13121006601,2014,"$10,000 to $19,999",40.0 to 49.9 percent,11
13121006601,2014,"$10,000 to $19,999",50.0 percent or more,55
13121006601,2014,"$20,000 to $34,999",Less than 20.0 percent,0
13121006601,2014,"$20,000 to $34,999",20.0 to 24.9 percent,0
13121006601,2014,"$20,000 to $34,999",25.0 to 29.9 percent,6
13121006601,2014,"$20,000 to $34,999",30.0 to 34.9 percent,0
13121006601,2014,"$20,000 to $34,999",35.0 to 39.9 percent,0
13121006601,2014,"$20,000 to $34,999",40.0 to 49.9 percent,15
13121006601,2014,"$20,000 to $34,999",50.0 percent or more,39
13121006601,2014,"$35,000 to $49,999",Less than 20.0 percent,18
13121006601,2014,"$35,000 to $49,999",20.0 to 24.9 percent,9
13121006601,2014,"$35,000 to $49,999",25.0 to 29.9 percent,16
13121006601,2014,"$35,000 to $49,999",30.0 to 34.9 percent,3
13121006601,2014,"$35,000 to $49,999",35.0 to 39.9 percent,0
13121006601,2014,"$35,000 to $49,999",40.0 to 49.9 percent,0
13121006601,2014,"$35,000 to $49,999",50.0 percent or more,0
13121006601,2014,"$50,000 to $74,999",Less than 20.0 percent,14
13121006601,2014,"$50,000 to $74,999",20.0 to 24.9 percent,24
13121006601,2014,"$50,000 to $74,999",25.0 to 29.9 percent,5
13121006601,2014,"$50,000 to $74,999",30.0 to 34.9 percent,0
13121006601,2014,"$50,000 to $74,999",35.0 to 39.9 percent,0
13121006601,2014,"$50,000 to $74,999",40.0 to 49.9 percent,0
13121006601,2014,"$50,000 to $74,999",50.0 percent or more,0
13121006601,2014,"$75,000 to $99,999",Less than 20.0 percent,24
13121006601,2014,"$75,000 to $99,999",20.0 to 24.9 percent,0
13121006601,2014,"$75,000 to $99,999",25.0 to 29.9 percent,0
13121006601,2014,"$75,000 to $99,999",30.0 to 34.9 percent,0
13121006601,2014,"$75,000 to $99,999",35.0 to 39.9 percent,0
13121006601,2014,"$75,000 to $99,999",40.0 to 49.9 percent,0
13121006601,2014,"$75,000 to $99,999",50.0 percent or more,0
