"GEOID","Subsidized units available","% Occupied","% Reported","Household income per year","% very low income","% extremely low income","% female head","% with disability among Head Spouse Co-head aged 61 years or less","% with disability among Head Spouse Co-head aged 62 years or older","% in poverty (Census tract)","% minority (Census tract)"
13013180103,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180104,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180105,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13013180107,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180108,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180203,136,90,100,12158,98,80,87,29,52,26,49
13013180204,90,92,100,12071,99,77,81,44,53,20,42
13013180205,123,91,100,12565,99,78,86,32,22,23,30
13013180206,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180301,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180302,18,77,100,13153,100,79,79,25,80,16,22
13013180303,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180401,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180402,47,87,100,11745,98,83,86,26,75,10,33
13013180501,15,77,100,16147,92,75,83,57,80,11,30
13013180502,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13013180503,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13015960102,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960200,22,97,100,19911,81,43,81,30,18,12,13
13015960300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13015960401,20,77,100,16205,81,81,94,42,75,9,34
13015960402,89,91,100,14280,94,73,74,57,14,8,22
13015960500,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960600,245,95,98,15736,90,75,75,40,57,20,31
13015960700,177,96,100,19147,83,57,84,20,41,23,38
13015960801,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13015960803,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960901,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015960902,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13015961000,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13045910101,180,78,100,12794,96,82,79,57,29,24,42
13045910103,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13045910104,35,100,100,13276,97,78,94,18,50,20,23
13045910200,22,105,100,13950,96,79,92,17,-1,20,18
13045910300,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13045910400,24,96,100,14628,91,70,65,53,25,16,12
13045910501,25,105,100,18542,85,48,89,16,50,36,49
13045910502,71,172,100,11305,98,85,80,31,50,45,77
13045910600,161,94,100,9921,98,83,90,14,73,23,35
13045910701,93,107,100,12407,95,78,93,26,75,13,32
