"GEOID","NHPD Property ID","PropertyStatus","Property Name","Property Address","City","State","Zip","Active Subsidies","TargetTenantType","Occupancy Rate","0-1 BedroomUnits","TwoBedroomUnits","ThreePlusBedroomUnits","Percent of ELI Households","HUD Property ID","FairMarketRent_2BR","Owner Type","EarliestStartDate","Total Units","Section 8 Housing Units","Supportive Housing Elderly","FHA Loan Units","FHA Loan Sub_Program Units","Low Income Housing Tax Credit","Low Income Housing Tax Credit sub-program","HOME Grants","Rural Rental Housing"
13013180103,1105346,Active,BRASELTON COURT,"1018 Beaver Dam Rd",Hoschton,GA,"30548",1,,,,,,,,1220,,"1/1/2014",80,,,,,,,,
13013180103,1127409,Active,,"1911 Highway 211 NW",Hoschton,GA,"30548-3526",1,,,,,,,,1220,,"11/9/2015",67,,,,,,,67,
13013180104,1102155,Active,AUTRY PINES SR VILLAGE,"155 Autry Rd",Auburn,GA,"30011-3206",2,,,0,0,0,,,1080,,"1/1/2015",64,,,,,0,64,64,
13013180204,1000412,Active,INNOVATION PROPERTIES,"56 MAYNARD ST",WINDER,GA,"30680",1,,96,32,6,2,86,800243120,960,Profit Motivated,"2/1/2016",40,40,,,,,,,
13013180204,1037926,Active,WINDING HOLLOW,"174 S BROAD ST",WINDER,GA,"30680",1,Elderly,96,39,0,0,78,800005026,960,Non-Profit,"12/1/2018",40,39,,,,,,,
13013180204,1122265,Active,WINDER WOODS APARTMENTS,"206 2nd St",Winder,GA,"30680-7134",1,Family,,16,24,,,,960,Limited Profit,"10/30/1985",40,,,,,,,,
13013180205,1002503,Active,CRESCENT RESIDENTIAL PROPERTIES OF WINDER,"29 Marion Lay St",Winder,GA,"30680-2022",2,Indv. families - not eld/ handicap,92,95,92,95,79,800241740,960,Profit Motivated,"12/1/2015",282,282,,282,,,,,
13013180205,1117667,Active,ROCK SPRINGS APARTMENTS,"187 S Broad St",Winder,GA,"30680-8120",1,Family,,16,32,0,,,960,Limited Profit,"3/9/1990",48,,,,,,,,0
13013180302,1039115,Active,STRATFORD COURT DBA MAINSTREET WINDER,"450 Jefferson Hwy",Winder,GA,"30680",2,,,33,30,0,,,960,,"1/1/2013",63,,,,,0,63,,
13013180402,1119013,Active,STATHAM NORTH VILLAGE,"379 Sunset Dr",Statham,GA,"30666-1656",1,Family,,6,12,,,,990,Limited Profit,"8/1/1985",18,,,,,,,,
13013180501,1039113,Active,FARMINGTON HILLS,"1506 Farmington Way",Winder,GA,"30680",2,,,13,35,24,,,960,For Profit,"1/1/2012",72,,,,,0,72,,
13013180501,1039568,Active,FARMINGTON HILLS PHASE II,"1525 Farmington Way",Winder,GA,"30680",1,,,12,36,24,,,960,,"1/1/2014",72,,,,,72,,,
13015960200,1120565,Active,ADAIRSVILLE ARMS,"5535 Joe Frank Harris Pkwy NW",Adairsville,GA,"30103-3002",1,Family,,16,32,,,,830,Limited Profit,"1/1/1990",48,,,,,,,,9
13015960200,1122236,Active,STEWART APARTMENTS,"100 Lawrence St",Adairsville,GA,"30103-2920",1,Family,,6,14,,,,830,Limited Profit,"1/1/1986",20,,,,,,,,
13015960200,1119660,Active,ADAIRSVILLE APARTMENTS,"101 Legion Ct",Adairsville,GA,"30103-2972",1,Family,,10,10,4,,,830,Limited Profit,"8/3/1984",24,,,,,,,,21
13015960401,1117443,Active,CROSSFIELD APARTMENTS II,"7 Crossfield Cir",Cartersville,GA,"30121-4229",3,Family,,24,24,0,,,960,Multiple,"1/1/1989",48,,,,,24,,,12
13015960401,1038479,Active,THE COVE APARTMENTS,"90 Liberty Square Dr NE",Cartersville,GA,"30121-8054",1,,,,,,,,960,For Profit,"1/1/2000",60,,,,,60,,,
13015960401,1116157,Active,FIELDMONT APARTMENTS,"34 Gilreath Rd SE",Cartersville,GA,"30121-5094",1,Family,,40,40,,,,960,Limited Profit,"7/31/1984",40,,,,,,,,14
13015960401,1116240,Active,CLUB COURT APARTMENT II,"72 Massell Dr SE",Cartersville,GA,"30121-4275",2,Mixed,,40,38,2,,,960,Multiple,"11/19/1981",58,,,,,,,,12
13015960402,1038011,Active,HUNTWOOD TERRACE                                  ,"71 Center Rd SE",Cartersville,GA,"30121-2900",2,Elderly,99,40,0,0,77,800004811,960,Non-Profit,"6/22/1993",40,40,40,,,,,,
13015960402,1038247,Active,CASS TOWNE APARTMENTS,"1341 Cassville Rd NW",Cartersville,GA,"30120-4886",1,,,,,,,,960,For Profit,"1/1/1994",10,,,,,10,,,
13015960402,1038846,Active,SOMERSET CLUB APARTMENTS,"91 Somerset Club Dr SE",Cartersville,GA,"30121-8164",1,,,,,,,,960,For Profit,"1/1/2004",120,,,,,120,,,
13015960402,1039020,Active,SHANGRI-LA PARK,"69 Gilreath Rd NW",Cartersville,GA,"30121",2,,,,,,,,960,For Profit,"1/1/2011",72,,,,,72,,15,
13015960402,1038434,Active,HAVENWOOD CARTERSVILLE,"296 E Felton Rd",Cartersville,GA,"30121-2405",1,,,,,,,,960,,"2/1/2020",50,,,50,,,,,
13015960600,1037904,Active,CARTERSVILLE GARDENS,"376 Old Mill Rd",Cartersville,GA,"30120-4043",1,Elderly,98,59,24,17,92,800004666,910,Profit Motivated,"3/1/1979",100,100,,100,,,,,
13015960600,1018478,Active,THE JARED HOUSE                                   ,"245 Douthit Ferry Rd",Cartersville,GA,"30120-4093",1,Wholly physically disabled,,4,0,0,,800219640,910,Non-Profit,"10/1/2018",4,4,,,,,,,
