,GEOID,VACANCY STATUS_Estimate!!Total,VACANCY STATUS_Estimate!!Total!!For rent,"VACANCY STATUS_Estimate!!Total!!Rented, not occupied",VACANCY STATUS_Estimate!!Total!!For sale only,"VACANCY STATUS_Estimate!!Total!!Sold, not occupied","VACANCY STATUS_Estimate!!Total!!For seasonal, recreational, or occasional use",VACANCY STATUS_Estimate!!Total!!For migrant workers,VACANCY STATUS_Estimate!!Total!!Other vacant,YEAR
0,13121006601,251.0,39.0,0.0,25.0,0.0,25.0,0.0,162.0,2012.0
1,13121006601,212.0,16.0,0.0,27.0,14.0,0.0,0.0,155.0,2013.0
2,13121006601,209.0,13.0,0.0,21.0,12.0,0.0,0.0,163.0,2014.0
3,13121006601,238.0,38.0,0.0,24.0,12.0,10.0,0.0,154.0,2015.0
4,13121006601,240.0,27.0,0.0,23.0,12.0,13.0,0.0,165.0,2016.0
5,13121006601,231.0,27.0,0.0,34.0,12.0,11.0,0.0,147.0,2017.0
6,13121006700,546.0,136.0,0.0,66.0,0.0,0.0,0.0,344.0,2012.0
7,13121006700,533.0,102.0,0.0,54.0,0.0,0.0,0.0,377.0,2013.0
8,13121006700,490.0,58.0,0.0,20.0,0.0,0.0,0.0,412.0,2014.0
9,13121006700,530.0,35.0,65.0,21.0,0.0,0.0,0.0,409.0,2015.0
10,13121006700,589.0,38.0,63.0,0.0,0.0,29.0,0.0,459.0,2016.0
11,13121006700,565.0,21.0,60.0,0.0,20.0,30.0,0.0,434.0,2017.0
12,13121009300,494.0,240.0,0.0,84.0,37.0,79.0,0.0,54.0,2012.0
13,13121009300,460.0,195.0,0.0,50.0,93.0,83.0,0.0,39.0,2013.0
14,13121009300,430.0,101.0,0.0,75.0,151.0,103.0,0.0,0.0,2014.0
15,13121009300,353.0,36.0,0.0,78.0,146.0,93.0,0.0,0.0,2015.0
16,13121009300,266.0,51.0,0.0,17.0,96.0,102.0,0.0,0.0,2016.0
17,13121009300,219.0,58.0,0.0,0.0,110.0,51.0,0.0,0.0,2017.0
18,13121009402,399.0,215.0,85.0,25.0,29.0,27.0,0.0,18.0,2012.0
19,13121009402,474.0,276.0,112.0,16.0,25.0,30.0,0.0,15.0,2013.0
20,13121009402,547.0,274.0,169.0,16.0,26.0,30.0,0.0,32.0,2014.0
21,13121009402,422.0,197.0,113.0,14.0,25.0,43.0,0.0,30.0,2015.0
22,13121009402,380.0,165.0,111.0,16.0,0.0,58.0,0.0,30.0,2016.0
23,13121009402,375.0,157.0,147.0,0.0,0.0,55.0,0.0,16.0,2017.0
25,13089023700,719.0,255.0,45.0,59.0,0.0,28.0,0.0,332.0,2012.0
26,13089023700,589.0,189.0,0.0,60.0,0.0,38.0,0.0,302.0,2013.0
27,13089023700,502.0,147.0,0.0,26.0,0.0,56.0,0.0,273.0,2014.0
28,13089023700,404.0,24.0,0.0,0.0,0.0,66.0,0.0,314.0,2015.0
29,13089023700,375.0,13.0,0.0,17.0,31.0,68.0,0.0,246.0,2016.0
30,13089023700,331.0,0.0,41.0,85.0,31.0,26.0,0.0,148.0,2017.0
31,13121001300,325.0,108.0,0.0,124.0,0.0,0.0,0.0,93.0,2012.0
32,13121001300,251.0,104.0,0.0,57.0,0.0,0.0,0.0,90.0,2013.0
33,13121001300,243.0,145.0,0.0,32.0,0.0,0.0,0.0,66.0,2014.0
34,13121001300,281.0,160.0,0.0,29.0,32.0,0.0,0.0,60.0,2015.0
35,13121001300,284.0,132.0,0.0,0.0,62.0,58.0,0.0,32.0,2016.0
36,13121001300,261.0,143.0,0.0,0.0,54.0,64.0,0.0,0.0,2017.0
37,13121001400,194.0,53.0,30.0,57.0,0.0,22.0,0.0,32.0,2012.0
38,13121001400,166.0,26.0,45.0,22.0,20.0,18.0,0.0,35.0,2013.0
39,13121001400,142.0,23.0,20.0,18.0,15.0,27.0,0.0,39.0,2014.0
40,13121001400,124.0,25.0,21.0,0.0,20.0,32.0,0.0,26.0,2015.0
41,13121001400,139.0,26.0,55.0,0.0,24.0,34.0,0.0,0.0,2016.0
42,13121001400,158.0,54.0,54.0,0.0,18.0,10.0,0.0,22.0,2017.0
43,13121001800,494.0,130.0,42.0,73.0,38.0,45.0,0.0,166.0,2012.0
44,13121001800,382.0,120.0,38.0,38.0,34.0,40.0,0.0,112.0,2013.0
45,13121001800,352.0,110.0,36.0,34.0,32.0,38.0,0.0,102.0,2014.0
46,13121001800,286.0,146.0,0.0,33.0,33.0,40.0,0.0,34.0,2015.0
47,13121001800,299.0,194.0,0.0,34.0,32.0,39.0,0.0,0.0,2016.0
48,13121001800,256.0,145.0,0.0,30.0,0.0,41.0,0.0,40.0,2017.0
49,13121001600,121.0,37.0,0.0,0.0,39.0,13.0,0.0,32.0,2012.0
50,13121001600,82.0,38.0,0.0,0.0,0.0,12.0,0.0,32.0,2013.0
51,13121001600,111.0,34.0,0.0,33.0,0.0,12.0,0.0,32.0,2014.0
52,13121001600,130.0,30.0,0.0,27.0,0.0,47.0,0.0,26.0,2015.0
53,13121001600,122.0,0.0,24.0,25.0,0.0,48.0,0.0,25.0,2016.0
54,13121001600,211.0,0.0,28.0,31.0,0.0,76.0,0.0,76.0,2017.0
55,13121001500,615.0,287.0,93.0,56.0,0.0,56.0,0.0,123.0,2012.0
56,13121001500,608.0,385.0,59.0,68.0,0.0,55.0,0.0,41.0,2013.0
57,13121001500,467.0,334.0,56.0,16.0,0.0,61.0,0.0,0.0,2014.0
58,13121001500,375.0,265.0,32.0,16.0,45.0,17.0,0.0,0.0,2015.0
59,13121001500,445.0,253.0,0.0,16.0,43.0,88.0,0.0,45.0,2016.0
60,13121001500,408.0,137.0,0.0,18.0,50.0,151.0,0.0,52.0,2017.0
61,13121001900,835.0,204.0,18.0,177.0,68.0,185.0,18.0,165.0,2012.0
62,13121001900,771.0,124.0,18.0,197.0,66.0,184.0,18.0,164.0,2013.0
63,13121001900,662.0,67.0,51.0,128.0,35.0,183.0,16.0,182.0,2014.0
64,13121001900,586.0,105.0,28.0,125.0,19.0,188.0,16.0,105.0,2015.0
65,13121001900,533.0,111.0,42.0,75.0,20.0,196.0,0.0,89.0,2016.0
66,13121001900,516.0,128.0,44.0,61.0,42.0,193.0,0.0,48.0,2017.0
67,13121000500,997.0,179.0,13.0,357.0,75.0,39.0,16.0,318.0,2012.0
68,13121000500,1052.0,157.0,13.0,319.0,71.0,168.0,16.0,308.0,2013.0
69,13121000500,1050.0,138.0,38.0,276.0,70.0,260.0,0.0,268.0,2014.0
70,13121000500,905.0,70.0,35.0,221.0,71.0,308.0,0.0,200.0,2015.0
71,13121000500,804.0,37.0,35.0,134.0,38.0,442.0,0.0,118.0,2016.0
72,13121000500,821.0,58.0,80.0,41.0,29.0,505.0,0.0,108.0,2017.0
73,13121003600,266.0,114.0,23.0,42.0,14.0,0.0,0.0,73.0,2012.0
74,13121003600,298.0,167.0,26.0,50.0,15.0,0.0,0.0,40.0,2013.0
75,13121003600,267.0,139.0,29.0,38.0,11.0,0.0,0.0,50.0,2014.0
76,13121003600,202.0,101.0,11.0,20.0,13.0,0.0,0.0,57.0,2015.0
77,13121003600,237.0,122.0,10.0,0.0,0.0,0.0,0.0,105.0,2016.0
78,13121003600,183.0,94.0,10.0,0.0,0.0,0.0,0.0,79.0,2017.0
79,13121010002,561.0,79.0,76.0,101.0,0.0,200.0,16.0,89.0,2012.0
80,13121010002,707.0,79.0,82.0,107.0,43.0,286.0,17.0,93.0,2013.0
81,13121010002,752.0,134.0,147.0,94.0,34.0,296.0,0.0,47.0,2014.0
82,13121010002,769.0,215.0,178.0,88.0,40.0,248.0,0.0,0.0,2015.0
83,13121010002,731.0,217.0,143.0,36.0,39.0,296.0,0.0,0.0,2016.0
84,13121010002,847.0,239.0,145.0,39.0,42.0,382.0,0.0,0.0,2017.0
85,13121010001,220.0,0.0,40.0,43.0,0.0,93.0,0.0,44.0,2012.0
86,13121010001,241.0,0.0,0.0,43.0,0.0,141.0,0.0,57.0,2013.0
87,13121010001,326.0,43.0,0.0,0.0,45.0,180.0,0.0,58.0,2014.0
88,13121010001,322.0,43.0,0.0,0.0,44.0,221.0,0.0,14.0,2015.0
89,13121010001,363.0,90.0,0.0,0.0,46.0,212.0,0.0,15.0,2016.0
90,13121010001,550.0,147.0,0.0,19.0,43.0,324.0,0.0,17.0,2017.0
91,13121009802,140.0,0.0,0.0,33.0,37.0,37.0,0.0,33.0,2012.0
92,13121009802,127.0,0.0,0.0,29.0,40.0,38.0,0.0,20.0,2013.0
93,13121009802,145.0,7.0,27.0,29.0,37.0,32.0,0.0,13.0,2014.0
94,13121009802,160.0,31.0,50.0,21.0,0.0,29.0,0.0,29.0,2015.0
95,13121009802,203.0,56.0,50.0,40.0,0.0,28.0,0.0,29.0,2016.0
96,13121009802,279.0,58.0,106.0,36.0,0.0,79.0,0.0,0.0,2017.0
97,13121006801,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2012.0
98,13121006801,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2013.0
99,13121006801,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2014.0
100,13121006801,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2015.0
101,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
102,13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
103,13121009700,127.0,18.0,0.0,27.0,0.0,6.0,0.0,76.0,2012.0
104,13121009700,141.0,87.0,0.0,0.0,30.0,0.0,0.0,24.0,2013.0
105,13121009700,162.0,77.0,0.0,0.0,36.0,0.0,0.0,49.0,2014.0
106,13121009700,231.0,51.0,27.0,0.0,28.0,47.0,0.0,78.0,2015.0
107,13121009700,296.0,52.0,30.0,0.0,79.0,47.0,0.0,88.0,2016.0
108,13121009700,316.0,51.0,32.0,0.0,112.0,49.0,0.0,72.0,2017.0
