,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999",YEAR
0,13121006601,415.0,375.0,0.0,0.0,22.0,14.0,0.0,0.0,44.0,27.0,0.0,27.0,70.0,66.0,6.0,17.0,21.0,9.0,52.0,0.0,0.0,0.0,0.0,40.0,2012.0
1,13121006601,414.0,358.0,0.0,0.0,13.0,5.0,12.0,0.0,34.0,27.0,0.0,28.0,100.0,30.0,13.0,23.0,16.0,14.0,43.0,0.0,0.0,0.0,0.0,56.0,2013.0
2,13121006601,388.0,368.0,11.0,0.0,0.0,30.0,18.0,5.0,0.0,0.0,25.0,37.0,51.0,53.0,18.0,16.0,14.0,15.0,57.0,18.0,0.0,0.0,0.0,20.0,2014.0
3,13121006601,361.0,332.0,11.0,0.0,0.0,18.0,12.0,10.0,0.0,0.0,21.0,40.0,44.0,45.0,14.0,36.0,16.0,14.0,35.0,16.0,0.0,0.0,0.0,0.0,2015.0
4,13121006601,394.0,364.0,11.0,0.0,0.0,21.0,12.0,11.0,0.0,0.0,23.0,44.0,35.0,22.0,34.0,42.0,5.0,45.0,34.0,25.0,0.0,0.0,0.0,0.0,2016.0
5,13121006601,332.0,303.0,12.0,0.0,0.0,21.0,12.0,11.0,0.0,0.0,23.0,28.0,18.0,20.0,19.0,29.0,25.0,32.0,26.0,27.0,0.0,0.0,0.0,0.0,2017.0
6,13121006700,758.0,721.0,78.0,7.0,20.0,0.0,6.0,15.0,0.0,0.0,8.0,87.0,48.0,32.0,67.0,111.0,102.0,89.0,7.0,36.0,8.0,0.0,0.0,37.0,2012.0
7,13121006700,769.0,713.0,114.0,8.0,91.0,0.0,7.0,11.0,19.0,0.0,23.0,47.0,14.0,32.0,73.0,65.0,130.0,52.0,0.0,27.0,0.0,0.0,0.0,56.0,2013.0
8,13121006700,888.0,840.0,91.0,8.0,64.0,40.0,8.0,11.0,31.0,0.0,25.0,39.0,0.0,56.0,110.0,54.0,150.0,116.0,0.0,23.0,14.0,0.0,0.0,48.0,2014.0
9,13121006700,872.0,839.0,100.0,7.0,78.0,41.0,7.0,12.0,33.0,0.0,25.0,60.0,0.0,67.0,81.0,36.0,109.0,91.0,52.0,26.0,14.0,0.0,0.0,0.0,2015.0
10,13121006700,941.0,917.0,91.0,0.0,72.0,45.0,0.0,38.0,36.0,19.0,0.0,109.0,0.0,19.0,53.0,61.0,125.0,64.0,110.0,11.0,64.0,0.0,0.0,0.0,2016.0
11,13121006700,954.0,929.0,143.0,18.0,56.0,20.0,0.0,28.0,26.0,18.0,30.0,150.0,19.0,24.0,0.0,67.0,36.0,141.0,109.0,12.0,32.0,0.0,0.0,0.0,2017.0
12,13121009300,839.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,24.0,22.0,62.0,85.0,0.0,85.0,84.0,183.0,46.0,111.0,10.0,113.0,2012.0
