,GEOID,CONTRACT RENT_Estimate!!Total,CONTRACT RENT_Estimate!!Total!!With cash rent,CONTRACT RENT_Estimate!!Total!!With cash rent!!Less than $100,CONTRACT RENT_Estimate!!Total!!With cash rent!!$100 to $149,CONTRACT RENT_Estimate!!Total!!With cash rent!!$150 to $199,CONTRACT RENT_Estimate!!Total!!With cash rent!!$200 to $249,CONTRACT RENT_Estimate!!Total!!With cash rent!!$250 to $299,CONTRACT RENT_Estimate!!Total!!With cash rent!!$300 to $349,CONTRACT RENT_Estimate!!Total!!With cash rent!!$350 to $399,CONTRACT RENT_Estimate!!Total!!With cash rent!!$400 to $449,CONTRACT RENT_Estimate!!Total!!With cash rent!!$450 to $499,CONTRACT RENT_Estimate!!Total!!With cash rent!!$500 to $549,CONTRACT RENT_Estimate!!Total!!With cash rent!!$550 to $599,CONTRACT RENT_Estimate!!Total!!With cash rent!!$600 to $649,CONTRACT RENT_Estimate!!Total!!With cash rent!!$650 to $699,CONTRACT RENT_Estimate!!Total!!With cash rent!!$700 to $749,CONTRACT RENT_Estimate!!Total!!With cash rent!!$750 to $799,CONTRACT RENT_Estimate!!Total!!With cash rent!!$800 to $899,CONTRACT RENT_Estimate!!Total!!With cash rent!!$900 to $999,"CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,000 to $1,249","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,250 to $1,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$1,500 to $1,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,000 to $2,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$2,500 to $2,999","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,000 to $3,499","CONTRACT RENT_Estimate!!Total!!With cash rent!!$3,500 or more",CONTRACT RENT_Estimate!!Total!!No cash rent,YEAR
0,13121006601,361.0,332.0,11.0,0.0,0.0,18.0,12.0,10.0,0.0,0.0,21.0,40.0,44.0,45.0,14.0,36.0,16.0,14.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2015.0
1,13121006601,394.0,364.0,11.0,0.0,0.0,21.0,12.0,11.0,0.0,0.0,23.0,44.0,35.0,22.0,34.0,42.0,5.0,45.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2016.0
2,13121006601,332.0,303.0,12.0,0.0,0.0,21.0,12.0,11.0,0.0,0.0,23.0,28.0,18.0,20.0,19.0,29.0,25.0,32.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2017.0
3,13121006700,872.0,839.0,100.0,7.0,78.0,41.0,7.0,12.0,33.0,0.0,25.0,60.0,0.0,67.0,81.0,36.0,109.0,91.0,52.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,33.0,2015.0
4,13121006700,941.0,917.0,91.0,0.0,72.0,45.0,0.0,38.0,36.0,19.0,0.0,109.0,0.0,19.0,53.0,61.0,125.0,64.0,110.0,11.0,64.0,0.0,0.0,0.0,0.0,0.0,24.0,2016.0
5,13121006700,954.0,929.0,143.0,18.0,56.0,20.0,0.0,28.0,26.0,18.0,30.0,150.0,19.0,24.0,0.0,67.0,36.0,141.0,109.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,25.0,2017.0
6,13121009300,865.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,93.0,26.0,32.0,58.0,110.0,188.0,67.0,214.0,32.0,0.0,0.0,0.0,0.0,2015.0
7,13121009300,939.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,97.0,92.0,104.0,91.0,77.0,128.0,74.0,216.0,32.0,20.0,0.0,0.0,0.0,2016.0
8,13121009300,1044.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,34.0,0.0,107.0,31.0,184.0,44.0,203.0,90.0,250.0,52.0,23.0,0.0,0.0,15.0,2017.0
9,13121009402,2207.0,2174.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,30.0,0.0,0.0,25.0,0.0,14.0,60.0,85.0,296.0,320.0,591.0,323.0,398.0,5.0,0.0,0.0,0.0,33.0,2015.0
10,13121009402,2129.0,2096.0,0.0,8.0,0.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,27.0,0.0,0.0,45.0,43.0,181.0,229.0,547.0,470.0,473.0,23.0,0.0,0.0,0.0,33.0,2016.0
11,13121009402,2130.0,2091.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,14.0,28.0,124.0,186.0,567.0,377.0,701.0,39.0,0.0,0.0,0.0,39.0,2017.0
13,13089023700,1281.0,1187.0,146.0,63.0,0.0,19.0,0.0,0.0,12.0,52.0,0.0,58.0,39.0,39.0,219.0,35.0,60.0,172.0,63.0,163.0,0.0,47.0,0.0,0.0,0.0,0.0,94.0,2015.0
14,13089023700,1376.0,1357.0,92.0,74.0,0.0,0.0,0.0,0.0,7.0,51.0,0.0,58.0,116.0,0.0,203.0,105.0,59.0,168.0,187.0,193.0,0.0,44.0,0.0,0.0,0.0,0.0,19.0,2016.0
