,GEOID,RENT ASKED_Estimate!!Total,RENT ASKED_Estimate!!Total!!Less than $100,RENT ASKED_Estimate!!Total!!$100 to $149,RENT ASKED_Estimate!!Total!!$150 to $199,RENT ASKED_Estimate!!Total!!$200 to $249,RENT ASKED_Estimate!!Total!!$250 to $299,RENT ASKED_Estimate!!Total!!$300 to $349,RENT ASKED_Estimate!!Total!!$350 to $399,RENT ASKED_Estimate!!Total!!$400 to $449,RENT ASKED_Estimate!!Total!!$450 to $499,RENT ASKED_Estimate!!Total!!$500 to $549,RENT ASKED_Estimate!!Total!!$550 to $599,RENT ASKED_Estimate!!Total!!$600 to $649,RENT ASKED_Estimate!!Total!!$650 to $699,RENT ASKED_Estimate!!Total!!$700 to $749,RENT ASKED_Estimate!!Total!!$750 to $799,RENT ASKED_Estimate!!Total!!$800 to $899,RENT ASKED_Estimate!!Total!!$900 to $999,"RENT ASKED_Estimate!!Total!!$1,000 to $1,249","RENT ASKED_Estimate!!Total!!$1,250 to $1,499","RENT ASKED_Estimate!!Total!!$1,500 to $1,999","RENT ASKED_Estimate!!Total!!$2,000 to $2,499","RENT ASKED_Estimate!!Total!!$2,500 to $2,999","RENT ASKED_Estimate!!Total!!$3,000 to $3,499","RENT ASKED_Estimate!!Total!!$3,500 or more",YEAR
0,13121006601,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
1,13121006601,27.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
2,13121006601,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
3,13121006700,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,16.0,0.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
4,13121006700,101.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,17.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
5,13121006700,81.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
6,13121009300,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2015.0
7,13121009300,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
8,13121009300,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
9,13121009402,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,79.0,62.0,0.0,107.0,47.0,0.0,0.0,0.0,0.0,2015.0
10,13121009402,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,45.0,47.0,84.0,45.0,0.0,0.0,0.0,0.0,2016.0
11,13121009402,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,47.0,76.0,72.0,49.0,0.0,0.0,0.0,0.0,2017.0
13,13089023700,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
14,13089023700,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0
15,13089023700,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
16,13121001300,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,38.0,0.0,17.0,72.0,0.0,0.0,0.0,0.0,0.0,2015.0
17,13121001300,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,43.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,2016.0
18,13121001300,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46.0,34.0,31.0,0.0,0.0,0.0,0.0,0.0,2017.0
