,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
0,13121006601,819.0,2010.0
1,13121006601,775.0,2011.0
2,13121006601,820.0,2012.0
3,13121006601,818.0,2013.0
4,13121006601,836.0,2014.0
5,13121006601,868.0,2015.0
6,13121006601,937.0,2016.0
7,13121006601,958.0,2017.0
8,13121006700,910.0,2010.0
9,13121006700,904.0,2011.0
10,13121006700,886.0,2012.0
11,13121006700,817.0,2013.0
12,13121006700,861.0,2014.0
13,13121006700,829.0,2015.0
14,13121006700,834.0,2016.0
15,13121006700,778.0,2017.0
16,13121009300,1032.0,2010.0
17,13121009300,1125.0,2011.0
18,13121009300,1127.0,2012.0
19,13121009300,1129.0,2013.0
20,13121009300,1173.0,2014.0
21,13121009300,1177.0,2015.0
22,13121009300,1158.0,2016.0
23,13121009300,1245.0,2017.0
24,13121009402,1060.0,2010.0
25,13121009402,1121.0,2011.0
26,13121009402,1142.0,2012.0
27,13121009402,1186.0,2013.0
28,13121009402,1225.0,2014.0
29,13121009402,1261.0,2015.0
30,13121009402,1340.0,2016.0
31,13121009402,1419.0,2017.0
33,13089023700,794.0,2010.0
34,13089023700,760.0,2011.0
35,13089023700,796.0,2012.0
36,13089023700,873.0,2013.0
37,13089023700,871.0,2014.0
38,13089023700,862.0,2015.0
39,13089023700,942.0,2016.0
40,13089023700,1001.0,2017.0
41,13121001300,993.0,2010.0
42,13121001300,1045.0,2011.0
43,13121001300,1015.0,2012.0
44,13121001300,995.0,2013.0
45,13121001300,967.0,2014.0
46,13121001300,970.0,2015.0
47,13121001300,1017.0,2016.0
48,13121001300,1113.0,2017.0
49,13121001400,1144.0,2010.0
50,13121001400,1128.0,2011.0
51,13121001400,1082.0,2012.0
52,13121001400,1053.0,2013.0
53,13121001400,1063.0,2014.0
54,13121001400,1048.0,2015.0
55,13121001400,1145.0,2016.0
56,13121001400,1216.0,2017.0
57,13121001800,864.0,2010.0
58,13121001800,847.0,2011.0
59,13121001800,857.0,2012.0
60,13121001800,552.0,2013.0
61,13121001800,724.0,2014.0
62,13121001800,827.0,2015.0
63,13121001800,731.0,2016.0
64,13121001800,911.0,2017.0
65,13121001600,974.0,2010.0
66,13121001600,1000.0,2011.0
67,13121001600,1092.0,2012.0
68,13121001600,1189.0,2013.0
69,13121001600,1235.0,2014.0
70,13121001600,1263.0,2015.0
71,13121001600,1264.0,2016.0
72,13121001600,1320.0,2017.0
73,13121001500,900.0,2010.0
74,13121001500,910.0,2011.0
75,13121001500,929.0,2012.0
76,13121001500,937.0,2013.0
77,13121001500,910.0,2014.0
78,13121001500,891.0,2015.0
79,13121001500,915.0,2016.0
80,13121001500,949.0,2017.0
81,13121001900,792.0,2010.0
82,13121001900,942.0,2011.0
83,13121001900,961.0,2012.0
84,13121001900,1062.0,2013.0
85,13121001900,1131.0,2014.0
86,13121001900,1172.0,2015.0
87,13121001900,1210.0,2016.0
88,13121001900,1264.0,2017.0
89,13121000500,1056.0,2010.0
90,13121000500,1185.0,2011.0
91,13121000500,1148.0,2012.0
92,13121000500,1154.0,2013.0
93,13121000500,1235.0,2014.0
94,13121000500,1329.0,2015.0
95,13121000500,1291.0,2016.0
96,13121000500,1341.0,2017.0
97,13121003600,770.0,2010.0
98,13121003600,749.0,2011.0
99,13121003600,696.0,2012.0
100,13121003600,661.0,2013.0
101,13121003600,763.0,2014.0
102,13121003600,798.0,2015.0
103,13121003600,804.0,2016.0
104,13121003600,821.0,2017.0
105,13121010002,1475.0,2010.0
106,13121010002,1353.0,2011.0
107,13121010002,1387.0,2012.0
108,13121010002,1431.0,2013.0
109,13121010002,1620.0,2014.0
110,13121010002,1621.0,2015.0
111,13121010002,1804.0,2016.0
112,13121010002,1820.0,2017.0
113,13121010001,903.0,2010.0
114,13121010001,957.0,2011.0
115,13121010001,1031.0,2012.0
116,13121010001,1078.0,2013.0
117,13121010001,1142.0,2014.0
118,13121010001,1195.0,2015.0
119,13121010001,1250.0,2016.0
120,13121010001,1363.0,2017.0
121,13121009802,1377.0,2010.0
122,13121009802,1417.0,2011.0
123,13121009802,1451.0,2012.0
124,13121009802,1597.0,2013.0
125,13121009802,1523.0,2014.0
126,13121009802,1563.0,2015.0
127,13121009802,1584.0,2016.0
128,13121009802,1714.0,2017.0
129,13121006801,-666666666.0,2010.0
130,13121006801,-666666666.0,2011.0
131,13121006801,-666666666.0,2012.0
132,13121006801,-666666666.0,2013.0
133,13121006801,-666666666.0,2014.0
134,13121006801,-666666666.0,2015.0
135,13121006801,-666666666.0,2016.0
136,13121006801,-666666666.0,2017.0
137,13121009700,1287.0,2010.0
138,13121009700,1237.0,2011.0
139,13121009700,1322.0,2012.0
140,13121009700,1246.0,2013.0
141,13121009700,1696.0,2014.0
142,13121009700,1657.0,2015.0
143,13121009700,1800.0,2016.0
144,13121009700,2361.0,2017.0
145,13121007100,486.0,2010.0
146,13121007100,710.0,2011.0
147,13121007100,852.0,2012.0
148,13121007100,823.0,2013.0
149,13121007100,742.0,2014.0
150,13121007100,748.0,2015.0
151,13121007100,825.0,2016.0
152,13121007100,798.0,2017.0
153,13121006200,965.0,2010.0
154,13121006200,997.0,2011.0
155,13121006200,957.0,2012.0
156,13121006200,923.0,2013.0
157,13121006200,882.0,2014.0
158,13121006200,787.0,2015.0
159,13121006200,744.0,2016.0
160,13121006200,788.0,2017.0
161,13121001100,792.0,2010.0
162,13121001100,789.0,2011.0
163,13121001100,885.0,2012.0
164,13121001100,885.0,2013.0
165,13121001100,998.0,2014.0
166,13121001100,1161.0,2015.0
167,13121001100,1276.0,2016.0
168,13121001100,1407.0,2017.0
169,13121002500,819.0,2010.0
170,13121002500,788.0,2011.0
171,13121002500,808.0,2012.0
172,13121002500,787.0,2013.0
173,13121002500,788.0,2014.0
174,13121002500,822.0,2015.0
175,13121002500,820.0,2016.0
176,13121002500,824.0,2017.0
177,13121004200,532.0,2010.0
178,13121004200,743.0,2011.0
179,13121004200,709.0,2012.0
180,13121004200,519.0,2013.0
181,13121004200,476.0,2014.0
182,13121004200,533.0,2015.0
183,13121004200,469.0,2016.0
184,13121004200,335.0,2017.0
185,13121009101,1086.0,2010.0
186,13121009101,1024.0,2011.0
187,13121009101,1079.0,2012.0
188,13121009101,1082.0,2013.0
189,13121009101,1093.0,2014.0
190,13121009101,1158.0,2015.0
191,13121009101,1305.0,2016.0
192,13121009101,1329.0,2017.0
193,13121008904,1074.0,2010.0
194,13121008904,1100.0,2011.0
195,13121008904,1190.0,2012.0
196,13121008904,1178.0,2013.0
197,13121008904,1191.0,2014.0
198,13121008904,1162.0,2015.0
199,13121008904,1188.0,2016.0
200,13121008904,1220.0,2017.0
201,13121003700,287.0,2010.0
202,13121003700,583.0,2011.0
203,13121003700,-666666666.0,2012.0
204,13121003700,-666666666.0,2013.0
205,13121003700,-666666666.0,2014.0
206,13121003700,702.0,2015.0
207,13121003700,-666666666.0,2016.0
208,13121003700,454.0,2017.0
209,13121010211,911.0,2010.0
210,13121010211,930.0,2011.0
211,13121010211,926.0,2012.0
212,13121010211,947.0,2013.0
213,13121010211,898.0,2014.0
214,13121010211,897.0,2015.0
215,13121010211,1017.0,2016.0
216,13121010211,1036.0,2017.0
217,13121012000,703.0,2010.0
218,13121012000,718.0,2011.0
219,13121012000,691.0,2012.0
220,13121012000,640.0,2013.0
221,13121012000,594.0,2014.0
222,13121012000,650.0,2015.0
223,13121012000,751.0,2016.0
224,13121012000,722.0,2017.0
225,13121009000,1079.0,2010.0
226,13121009000,1059.0,2011.0
227,13121009000,1095.0,2012.0
228,13121009000,1147.0,2013.0
229,13121009000,1157.0,2014.0
230,13121009000,1220.0,2015.0
231,13121009000,1251.0,2016.0
232,13121009000,1317.0,2017.0
233,13121007002,849.0,2010.0
234,13121007002,895.0,2011.0
235,13121007002,931.0,2012.0
236,13121007002,923.0,2013.0
237,13121007002,954.0,2014.0
238,13121007002,923.0,2015.0
239,13121007002,884.0,2016.0
240,13121007002,910.0,2017.0
241,13121009900,1148.0,2010.0
242,13121009900,1150.0,2011.0
243,13121009900,1152.0,2012.0
244,13121009900,1199.0,2013.0
245,13121009900,1251.0,2014.0
246,13121009900,1273.0,2015.0
247,13121009900,1261.0,2016.0
248,13121009900,1326.0,2017.0
249,13121010303,1042.0,2010.0
250,13121010303,1015.0,2011.0
251,13121010303,1065.0,2012.0
252,13121010303,1099.0,2013.0
253,13121010303,1128.0,2014.0
254,13121010303,1074.0,2015.0
255,13121010303,1103.0,2016.0
256,13121010303,1124.0,2017.0
257,13121001700,837.0,2010.0
258,13121001700,767.0,2011.0
259,13121001700,853.0,2012.0
260,13121001700,1025.0,2013.0
261,13121001700,1092.0,2014.0
262,13121001700,1117.0,2015.0
263,13121001700,1253.0,2016.0
264,13121001700,1377.0,2017.0
265,13121000600,1160.0,2010.0
266,13121000600,1136.0,2011.0
267,13121000600,1159.0,2012.0
268,13121000600,1157.0,2013.0
