,GEOID,BEDROOMS BY GROSS RENT_Estimate!!Total,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!No bedroom!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!1 bedroom!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!2 bedrooms!!No cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!Less than $300,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$300 to $499,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$500 to $749,BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$750 to $999,"BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$1,000 to $1,499","BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!With cash rent!!$1,500 or more",BEDROOMS BY GROSS RENT_Estimate!!Total!!3 or more bedrooms!!No cash rent,YEAR
0,13121006601,415.0,27.0,27.0,11.0,0.0,0.0,16.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0,0.0,13.0,52.0,37.0,0.0,254.0,214.0,0.0,0.0,11.0,85.0,59.0,59.0,40.0,2012.0
1,13121006601,414.0,30.0,30.0,13.0,0.0,0.0,17.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,126.0,126.0,0.0,0.0,0.0,34.0,57.0,35.0,0.0,235.0,179.0,0.0,0.0,17.0,64.0,59.0,39.0,56.0,2013.0
2,13121006601,388.0,19.0,19.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,28.0,28.0,0.0,13.0,0.0,6.0,9.0,0.0,0.0,136.0,136.0,0.0,11.0,0.0,24.0,45.0,56.0,0.0,205.0,185.0,0.0,0.0,30.0,32.0,63.0,60.0,20.0,2014.0
3,13121006601,361.0,24.0,24.0,6.0,5.0,13.0,0.0,0.0,0.0,0.0,32.0,28.0,12.0,0.0,5.0,11.0,0.0,0.0,4.0,137.0,132.0,11.0,0.0,21.0,47.0,44.0,9.0,5.0,168.0,148.0,0.0,12.0,32.0,50.0,54.0,0.0,20.0,2015.0
4,13121006601,394.0,26.0,26.0,6.0,6.0,14.0,0.0,0.0,0.0,0.0,32.0,27.0,15.0,0.0,0.0,12.0,0.0,0.0,5.0,153.0,149.0,11.0,0.0,22.0,44.0,63.0,9.0,4.0,183.0,162.0,0.0,12.0,11.0,55.0,84.0,0.0,21.0,2016.0
5,13121006601,332.0,13.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0,29.0,14.0,0.0,0.0,15.0,0.0,0.0,4.0,135.0,131.0,12.0,0.0,24.0,30.0,57.0,8.0,4.0,151.0,130.0,0.0,12.0,9.0,45.0,64.0,0.0,21.0,2017.0
6,13121006700,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,214.0,47.0,0.0,21.0,51.0,87.0,8.0,7.0,191.0,174.0,18.0,0.0,0.0,29.0,86.0,41.0,17.0,346.0,333.0,0.0,20.0,0.0,60.0,26.0,227.0,13.0,2012.0
7,13121006700,769.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,259.0,248.0,72.0,0.0,46.0,40.0,79.0,11.0,11.0,136.0,122.0,18.0,0.0,20.0,8.0,49.0,27.0,14.0,361.0,330.0,0.0,19.0,30.0,45.0,35.0,201.0,31.0,2013.0
8,13121006700,888.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,261.0,250.0,59.0,11.0,48.0,35.0,86.0,11.0,11.0,205.0,202.0,28.0,0.0,20.0,44.0,61.0,49.0,3.0,410.0,376.0,0.0,0.0,33.0,37.0,49.0,257.0,34.0,2014.0
9,13121006700,872.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,269.0,258.0,92.0,48.0,47.0,60.0,11.0,0.0,11.0,183.0,183.0,16.0,19.0,54.0,73.0,21.0,0.0,0.0,408.0,386.0,11.0,35.0,43.0,50.0,200.0,47.0,22.0,2015.0
