Name,Label,Concept,Limit,Predicate Type,Group,Attributes
B00001_001E,Estimate!!Total,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,0,int,B00001,B00001_001EA
B00002_001E,Estimate!!Total,UNWEIGHTED SAMPLE HOUSING UNITS,0,int,B00002,B00002_001EA
B01001_001E,Estimate!!Total,SEX BY AGE,0,(not a predicate),B01001,"B01001_001M, B01001_001MA, B01001_001EA"
B01001_002E,Estimate!!Total!!Male,SEX BY AGE,0,int,B01001,"B01001_002M, B01001_002MA, B01001_002EA"
B01001_003E,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,0,int,B01001,"B01001_003M, B01001_003MA, B01001_003EA"
B01001_004E,Estimate!!Total!!Male!!5 to 9 years,SEX BY AGE,0,int,B01001,"B01001_004M, B01001_004MA, B01001_004EA"
B01001_005E,Estimate!!Total!!Male!!10 to 14 years,SEX BY AGE,0,int,B01001,"B01001_005M, B01001_005MA, B01001_005EA"
B01001_006E,Estimate!!Total!!Male!!15 to 17 years,SEX BY AGE,0,int,B01001,"B01001_006M, B01001_006MA, B01001_006EA"
B01001_007E,Estimate!!Total!!Male!!18 and 19 years,SEX BY AGE,0,int,B01001,"B01001_007M, B01001_007MA, B01001_007EA"
B01001_008E,Estimate!!Total!!Male!!20 years,SEX BY AGE,0,int,B01001,"B01001_008M, B01001_008MA, B01001_008EA"
B01001_009E,Estimate!!Total!!Male!!21 years,SEX BY AGE,0,int,B01001,"B01001_009M, B01001_009MA, B01001_009EA"
B01001_010E,Estimate!!Total!!Male!!22 to 24 years,SEX BY AGE,0,int,B01001,"B01001_010M, B01001_010MA, B01001_010EA"
B01001_011E,Estimate!!Total!!Male!!25 to 29 years,SEX BY AGE,0,int,B01001,"B01001_011M, B01001_011MA, B01001_011EA"
B01001_012E,Estimate!!Total!!Male!!30 to 34 years,SEX BY AGE,0,int,B01001,"B01001_012M, B01001_012MA, B01001_012EA"
B01001_013E,Estimate!!Total!!Male!!35 to 39 years,SEX BY AGE,0,int,B01001,"B01001_013M, B01001_013MA, B01001_013EA"
B01001_014E,Estimate!!Total!!Male!!40 to 44 years,SEX BY AGE,0,int,B01001,"B01001_014M, B01001_014MA, B01001_014EA"
